Transcription-Units	Genes of transcription unit	Direction
TU8J2-892	BSU12390 // BSU12380 // BSU12370 // BSU12360 // BSU12350 // BSU12340 // BSU12330 // BSU12320 // BSU12310 // BSU12300	+
TU8J2-1018	BSU07600 // BSU07590 // BSU07580	+
TU8J2-21	BSU35650	+
TU8J2-506	BSU_tRNA_72 // BSU_tRNA_71 // BSU_tRNA_70 // BSU_tRNA_69 // BSU_tRNA_68 // BSU_tRNA_67 // BSU_tRNA_66 // BSU_tRNA_65 // BSU_tRNA_64 // BSU_tRNA_63 // BSU_tRNA_62 // BSU_tRNA_61 // BSU_tRNA_60 // BSU_tRNA_59 // BSU_tRNA_58 // BSU_tRNA_57 // BSU_tRNA_56 // BSU_tRNA_55 // BSU_tRNA_54 // BSU_tRNA_53 // BSU_tRNA_52 // BSU_rRNA_21 // BSU_rRNA_20 // BSU_rRNA_19	-
TU8J2-1057	BSU06070 // BSU06060	+
TU8J2-1249	BSU11810	+
TU8J2-545	BSU29680	-
TU8J2-839	BSU15120	+
TU8J2-1288	BSU01780	+
TU8J2-1579	BSU04310 // BSU04300 // BSU04290 // BSU04280 // BSU04270	+
TU8J2-878	BSU13170	-
TU8J2-1003	BSU07990	-
TU8J2-195	BSU09180	-
TU8J2-492	BSU31420	+
TU8J2-1042	BSU06530 // BSU06520 // BSU06510 // BSU06500 // BSU06490 // BSU06480 // BSU06470 // BSU06460 // BSU06450 // BSU06440 // BSU06430 // BSU06420	+
TU8J2-1233	BSU37680	+
TU8J2-530	BSU30180 // BSU30190 // BSU30200 // BSU30210 // BSU30220 // BSU30230 // BSU30240	-
TU8J2-824	BSU16120	+
TU8J2-1273	BSU11550 // BSU11560	-
TU8J2-1564	BSU36330	+
TU8J2-863	BSU13930 // BSU13920	+
TU8J2-478	BSU31740	-
TU8J2-180	BSU32820 // BSU32830 // BSU32840 // BSU32850	-
TU8J2-1214	BSU00070	+
TU8J2-1028	BSU07400 // BSU07390	+
TU8J2-810	BSU17420	+
TU8J2-516	BSU30650	-
TU8J2-155	BSU05430	+
TU8J2-1259	BSU35060 // BSU35070	-
TU8J2-463	BSU32940	-
TU8J2-849	BSU14490	+
TU8J2-120	BSU10560	+
TU8J2-166	BSU13540 // BSU13530	+
TU8J2-797	BSU17920	-
TU8J2-1013	BSU07750	+
TU8J2-1535	BSU32280	+
TU8J2-501	BSU31260	-
TU8J2-449	BSU33430 // BSU33440	-
TU8J2-1244	BSU23329 // BSU23330 // BSU23340	-
TU8J2-1186	BSU00880 // BSU00870 // BSU00860 // BSU00850 // BSU00840 // BSU00830	+
TU8J2-834	BSU15330 // BSU15320 // BSU15310	+
TU8J2-781	BSU18590	-
TU8J2-1574	BSU40740	-
TU8J2-1520	BSU30680	+
TU8J2-10	BSU14870	-
TU8J2-434	BSU35150	-
TU8J2-488	BSU31500 // BSU31490	+
TU8J2-767	BSU19210	-
TU8J2-1224	BSU16800	+
TU8J2-1506	BSU28099	+
TU8J2-820	BSU16710	+
TU8J2-42	BSU02940 // BSU02930 // BSU02920 // BSU02910 // BSU02900 // BSU02890	+
TU8J2-156	BSU05420 // BSU05410	+
TU8J2-752	BSU21760 // BSU21770	-
TU8J2-473	BSU32070	-
TU8J2-1492	BSU25740	+
TU8J2-121	BSU10520 // BSU10530 // BSU10540 // BSU10550	-
TU8J2-336	BSU37760 // BSU37770 // BSU37780	-
TU8J2-806	BSU17590	-
TU8J2-405	BSU36060	-
TU8J2-1545	BSU33370	-
TU8J2-738	BSU22020	-
TU8J2-459	BSU33020 // BSU33010	+
TU8J2-1478	BSU24790	-
TU8J2-1196	BSU00480 // BSU00470	+
TU8J2-320	BSU38180	+
TU8J2-792	BSU18000	+
TU8J2-391	BSU36460	-
TU8J2-1530	BSU32110	+
TU8J2-723	BSU22849 // BSU22850 // BSU22860	-
TU8J2-444	BSU33970	+
TU8J2-1463	BSU20570	-
TU8J2-1181	BSU01530 // BSU01520	+
TU8J2-306	BSU38499 // BSU38540 // BSU38530 // BSU38520 // BSU38510 // BSU38500	+
TU8J2-777	BSU18670	-
TU8J2-377	BSU36720	-
TU8J2-1516	BSU30150	+
TU8J2-709	BSU23450 // BSU23460 // BSU23470 // BSU23480	-
TU8J2-43	BSU07900 // BSU07890 // BSU07880	+
TU8J2-1450	BSU19350	+
TU8J2-762	BSU19580	+
TU8J2-3028	BSU30530 // BSU30540 // BSU30550	-
TU8J2-1501	BSU27100	-
TU8J2-362	BSU37110 // BSU37120	-
TU8J2-997	BSU08110 // BSU08100	+
TU8J2-694	BSU23820	+
TU8J2-415	BSU35830	-
TU8J2-1436	BSU18700	+
TU8J2-748	BSU21850	-
TU8J2-3010	BSU30300 // BSU30290 // BSU30280 // BSU30270 // BSU30260	+
TU8J2-1488	BSU25560	-
TU8J2-348	BSU37480	+
TU8J2-331	BSU37960	+
TU8J2-68	BSU35240	-
TU8J2-400	BSU36170	-
TU8J2-1421	BSU14940	-
TU8J2-733	BSU22150	-
TU8J2-2996	BSU15840 // BSU15830	+
TU8J2-1473	BSU23320	+
TU8J2-665	BSU24950 // BSU24960 // BSU24970 // BSU24980 // BSU24990	-
TU8J2-316	BSU38290 // BSU38300 // BSU38310	-
TU8J2-1407	BSU13670	+
TU8J2-387	BSU36530	+
TU8J2-297	BSU38730 // BSU38740 // BSU38750 // BSU38760	-
TU8J2-719	BSU23080	-
TU8J2-1162	BSU02130 // BSU02140	-
TU8J2-1459	BSU20190	+
TU8J2-650	BSU25710	-
TU8J2-3038	BSU13330	+
TU8J2-1393	BSU12200	-
TU8J2-372	BSU36800 // BSU36810 // BSU36820 // BSU36830 // BSU36840 // BSU36850 // BSU36860 // BSU36870 // BSU36880	-
TU8J2-983	BSU08425	+
TU8J2-704	BSU23590	+
TU8J2-2953	BSU35000	-
TU8J2-1446	BSU19130	+
TU8J2-1148	BSU02730	-
TU8J2-3023	BSU00540	+
TU8J2-636	BSU27180	-
TU8J2-358	BSU37160 // BSU37170 // BSU37180	-
TU8J2-1379	BSU10810	+
TU8J2-69	BSU23450 // BSU23460 // BSU23470 // BSU23480	-
TU8J2-969	BSU08640	-
TU8J2-1431	BSU18110	-
TU8J2-287	BSU38890	+
TU8J2-3006	BSU16500 // BSU16490	+
TU8J2-1133	BSU03060 // BSU03050	+
TU8J2-343	BSU37590	-
TU8J2-621	BSU27920 // BSU27930	-
TU8J2-675	BSU24360 // BSU24370 // BSU24380 // BSU24390 // BSU24400 // BSU24410 // BSU24420 // BSU24430 // BSU24440	-
TU8J2-1364	BSU09350	-
TU8J2-1417	BSU14640	+
TU8J2-954	BSU09290 // BSU09280	+
TU8J2-2988	BSU32290 // BSU32300 // BSU32310	-
TU8J2-272	BSU39250 // BSU39260 // BSU39270	-
TU8J2-1172	BSU01890	+
TU8J2-1119	BSU03410	+
TU8J2-660	BSU25220	+
TU8J2-607	BSU28250 // BSU28260 // BSU28270 // BSU28280 // BSU28290 // BSU28300 // BSU28310	-
TU8J2-1402	BSU13360	+
TU8J2-135	BSU29230	-
TU8J2-993	BSU08250	+
TU8J2-94	BSU08890	-
TU8J2-2963	BSU38460 // BSU_misc_RNA_59 // BSU38450	+
TU8J2-258	BSU39650 // BSU39660	-
TU8J2-1158	BSU02390	+
TU8J2-1104	BSU03840 // BSU03850	-
TU8J2-646	BSU25780 // BSU25790 // BSU25800 // BSU25810	-
TU8J2-593	BSU28600	-
TU8J2-1389	BSU11839	+
TU8J2-1335	BSU05170	-
TU8J2-979	BSU08480	+
TU8J2-925	BSU10390	-
TU8J2-2949	BSU12000	+
TU8J2-243	BSU40000	+
TU8J2-1143	BSU02790	+
TU8J2-1088	BSU04130	-
TU8J2-631	BSU27590 // BSU27600	-
TU8J2-576	BSU29000	-
TU8J2-1374	BSU10009	+
TU8J2-1318	BSU02710	-
TU8J2-964	BSU08820	-
TU8J2-908	BSU11500 // BSU11490	+
TU8J2-282	BSU38970 // BSU38980 // BSU38990 // BSU39000	-
TU8J2-226	BSU40360 // BSU40370 // BSU40380 // BSU40390 // BSU40400 // BSU40410	-
TU8J2-1129	BSU03130	+
TU8J2-1073	BSU04610	-
TU8J2-617	BSU28040	-
TU8J2-561	BSU29410	-
TU8J2-136	BSU28490	-
TU8J2-1303	BSU03220 // BSU03210 // BSU03200	+
TU8J2-95	BSU15410 // BSU15400 // BSU15390 // BSU15380 // BSU15370	+
TU8J2-894	BSU12120	-
TU8J2-268	BSU39390 // BSU39380 // BSU39370 // BSU39360 // BSU39350 // BSU39340	+
TU8J2-211	BSU40730 // BSU40720	+
TU8J2-1114	BSU03520 // BSU03510 // BSU03500 // BSU03490 // BSU03480	+
TU8J2-1059	BSU05830	+
TU8J2-602	BSU28380	-
TU8J2-547	BSU_misc_RNA_93 // BSU29660	+
TU8J2-1345	BSU05690	-
TU8J2-129	BSU10670 // BSU10680 // BSU10690 // BSU10700 // BSU10710 // BSU10720	-
TU8J2-935	BSU09990	-
TU8J2-88	BSU36540	-
TU8J2-253	BSU39820	-
TU8J2-197	BSU14980 // BSU14970	+
TU8J2-110	BSU19560 // BSU19570	-
TU8J2-1044	BSU06360	+
TU8J2-589	BSU28660	+
TU8J2-532	BSU30080	-
TU8J2-1330	BSU05000	-
TU8J2-1275	BSU32560	+
TU8J2-586	BSU28720 // BSU28730 // BSU28740 // BSU28750 // BSU28760 // BSU28770 // BSU28780 // BSU28790 // BSU28800	-
TU8J2-865	BSU13850	+
TU8J2-1328	BSU04180	-
TU8J2-182	BSU34200	-
TU8J2-918	BSU10490 // BSU10480	+
TU8J2-103	BSU25880 // BSU25890	-
TU8J2-236	BSU40130	+
TU8J2-518	BSU30570	-
TU8J2-1083	BSU04360	-
TU8J2-1260	BSU11500	+
TU8J2-571	BSU29150	-
TU8J2-850	BSU14480	+
TU8J2-1313	BSU29820 // BSU29830 // BSU29840	-
TU8J2-168	BSU17640	-
TU8J2-903	BSU11710 // BSU11700 // BSU11690 // BSU11680 // BSU11670 // BSU11660 // BSU11650	+
TU8J2-1015	BSU07650 // BSU07630	+
TU8J2-221	BSU40500 // BSU40510 // BSU40520	-
TU8J2-503	BSU31230	-
TU8J2-1069	BSU05020 // BSU05010	+
TU8J2-1246	BSU35790	-
TU8J2-557	BSU29490	-
TU8J2-836	BSU15270 // BSU15260 // BSU15250 // BSU15240 // BSU15230 // BSU15220 // BSU15210 // BSU15200 // BSU15190 // BSU15180	+
TU8J2-13	BSU01600 // BSU01610 // BSU01620 // BSU01630	-
TU8J2-1576	BSU33500 // BSU33510	-
TU8J2-89	BSU13620 // BSU13610 // BSU13600 // BSU13590	+
TU8J2-1000	BSU08030	+
TU8J2-207	BSU40830	-
TU8J2-49	BSU39040 // BSU39050	-
TU8J2-1054	BSU06140	-
TU8J2-1226	G8J2-5	+
TU8J2-542	BSU29750	-
TU8J2-822	BSU16480 // BSU16470 // BSU16460 // BSU16450 // BSU16440 // BSU16430 // BSU16420 // BSU16410 // BSU16400 // BSU16390 // BSU16380 // BSU16370 // BSU16360 // BSU16350 // BSU16340 // BSU16330 // BSU16320 // BSU16310 // BSU16300 // BSU16299 // BSU16290 // BSU16280 // BSU16270 // BSU16260 // BSU16250 // BSU16240 // BSU16230 // BSU16220 // BSU16210 // BSU16200 // BSU16190 // BSU16180	+
TU8J2-1285	BSU_misc_RNA_55	-
TU8J2-1561	BSU35140	+
TU8J2-875	BSU13460 // BSU13450	+
TU8J2-475	BSU31930	+
TU8J2-192	BSU10970 // BSU10980	-
TU8J2-1211	BSU00120 // BSU00110	+
TU8J2-104	BSU25870 // BSU25860	+
TU8J2-808	BSU17470	+
TU8J2-528	BSU30300	+
TU8J2-1547	BSU33530	+
TU8J2-1270	BSU33239	+
TU8J2-460	BSU33000	-
TU8J2-860	BSU14010	+
TU8J2-1198	BSU00440	+
TU8J2-178	BSU33770 // BSU33760 // BSU33750	+
TU8J2-794	BSU17970	-
TU8J2-1025	BSU07440	+
TU8J2-1532	BSU32200	+
TU8J2-513	BSU30780 // BSU30790 // BSU30800 // BSU30810 // BSU30820 // BSU30830	-
TU8J2-446	BSU33900 // BSU33910 // BSU33920 // BSU33930 // BSU33940 // BSU33950	-
TU8J2-1256	BSU33120 // BSU33130	-
TU8J2-1183	BSU00980	+
TU8J2-846	BSU14700	-
TU8J2-779	BSU18610	-
TU8J2-163	BSU11920	+
TU8J2-1518	BSU30520	+
TU8J2-1010	BSU07850	+
TU8J2-431	BSU35310	-
TU8J2-5	BSU33049 // BSU33040	-
TU8J2-764	BSU19290	-
TU8J2-1241	BSU11400 // BSU11390 // BSU11382 // BSU11381 // BSU11370 // BSU11360	+
TU8J2-1503	BSU27530	+
TU8J2-831	BSU15810	+
TU8J2-999	BSU08050 // BSU08040	+
TU8J2-1571	BSU37540	+
TU8J2-417	BSU35780	-
TU8J2-485	BSU31580	+
TU8J2-75	BSU09150	+
TU8J2-1221	BSU10170	-
TU8J2-149	BSU09930 // BSU09920 // BSU09910	+
TU8J2-818	BSU16770 // BSU16760 // BSU16750 // BSU16740 // BSU16730	+
TU8J2-333	BSU37920	+
TU8J2-1557	BSU34680	+
TU8J2-402	BSU36100	-
TU8J2-470	BSU32350	-
TU8J2-735	BSU22080	-
TU8J2-1207	BSU00230	+
TU8J2-1475	BSU24540	+
TU8J2-803	BSU17770 // BSU17760 // BSU17750	+
TU8J2-318	BSU38250	-
TU8J2-1542	BSU33029	-
TU8J2-389	BSU36480	-
TU8J2-456	BSU03720 // BSU03710 // BSU03700	+
TU8J2-720	BSU23070	+
TU8J2-1193	BSU00560	+
TU8J2-1460	BSU20510	-
TU8J2-79	BSU17970	-
TU8J2-304	BSU38560 // BSU38570 // BSU38580 // BSU38590	-
TU8J2-1528	BSU32030	+
TU8J2-374	BSU36750	-
TU8J2-441	BSU34220 // BSU34230 // BSU34240 // BSU34250 // BSU34265 // BSU34280 // BSU34290 // BSU34300 // BSU34310 // BSU34320 // BSU34330 // BSU34340 // BSU34350 // BSU34360 // BSU34370	-
TU8J2-706	BSU23530	-
TU8J2-1179	BSU01570	-
TU8J2-1448	BSU19260	-
TU8J2-774	BSU18840	-
TU8J2-3025	BSU04400	+
TU8J2-1513	BSU29910	+
TU8J2-36	BSU23090 // BSU23100	-
TU8J2-427	BSU35400 // BSU35410 // BSU35420 // BSU35430 // BSU35440 // BSU35450 // BSU35460 // BSU35470	-
TU8J2-691	BSU23850	+
TU8J2-76	BSU37510	+
TU8J2-1433	BSU18410	+
TU8J2-15	BSU15290 // BSU15280	+
TU8J2-3008	BSU16520 // BSU16510	+
TU8J2-412	BSU35870 // BSU35880 // BSU35890 // BSU35900	-
TU8J2-345	BSU37550 // BSU37560	-
TU8J2-745	BSU21880	-
TU8J2-677	BSU24310 // BSU24320	-
TU8J2-1485	BSU25420	+
TU8J2-1419	BSU14810	+
TU8J2-328	BSU38030 // BSU38040 // BSU38050	-
TU8J2-2990	BSU04660 // BSU04650	+
TU8J2-399	BSU36230	-
TU8J2-1174	BSU01800	-
TU8J2-730	BSU22320 // BSU22310	+
TU8J2-662	BSU25150	+
TU8J2-1470	BSU22510	+
TU8J2-1404	BSU13520	-
TU8J2-313	BSU38400	+
TU8J2-2965	BSU_misc_RNA_3 // BSU01050 // BSU01040	+
TU8J2-384	BSU36580	-
TU8J2-116	BSU30370 // BSU30380	-
TU8J2-716	BSU23170 // BSU23180 // BSU23190	-
TU8J2-648	BSU26390 // BSU25760	+
TU8J2-14565	BSU27230 // BSU27220	+
TU8J2-1390	BSU12060	+
TU8J2-3035	BSU40490	+
TU8J2-980	BSU08470	+
TU8J2-37	BSU24610 // BSU24600	+
TU8J2-2950	BSU07760 // BSU07770 // BSU07780 // BSU07790	-
TU8J2-701	BSU23640	+
TU8J2-1145	BSU02770	+
TU8J2-1443	BSU18899	+
TU8J2-633	BSU27300 // BSU27310	-
TU8J2-3019	BSU09420	+
TU8J2-1376	BSU10590	+
TU8J2-355	BSU37230	-
TU8J2-966	BSU08760	-
TU8J2-687	BSU24020 // BSU24010 // BSU24000	+
TU8J2-284	BSU38950	+
TU8J2-1429	BSU17730	-
TU8J2-1130	BSU03120	+
TU8J2-3003	BSU39110	-
TU8J2-619	BSU27970 // BSU27980	-
TU8J2-672	BSU24610 // BSU24600	+
TU8J2-1361	BSU09110	+
TU8J2-1414	BSU14550	+
TU8J2-951	BSU09380	-
TU8J2-2982	BSU06320	+
TU8J2-27	BSU05730 // BSU05740	-
TU8J2-117	BSU14860 // BSU14850	+
TU8J2-1116	BSU03450 // BSU03460	-
TU8J2-658	BSU25350 // BSU25360	-
TU8J2-604	BSU28340	+
TU8J2-140	BSU21500 // BSU21510	-
TU8J2-1347	BSU05950	-
TU8J2-990	BSU08340	-
TU8J2-937	BSU09830	+
TU8J2-2960	BSU31850 // BSU31860 // BSU31875 // BSU31890 // BSU31900 // BSU31910	-
TU8J2-255	BSU39800 // BSU39790	+
TU8J2-1155	BSU02600	+
TU8J2-1101	BSU03890	-
TU8J2-643	BSU26600 // BSU26590	+
TU8J2-590	BSU28650	-
TU8J2-1386	BSU11320	-
TU8J2-1332	BSU05050	+
TU8J2-976	BSU08540	+
TU8J2-922	BSU10420	+
TU8J2-294	BSU38790	+
TU8J2-240	BSU40030 // BSU40040	-
TU8J2-1140	BSU02940 // BSU02930 // BSU02920 // BSU02910 // BSU02900 // BSU02890	+
TU8J2-92	BSU29200 // BSU29210	-
TU8J2-629	BSU27610 // BSU27620	-
TU8J2-238	BSU40100 // BSU40090	+
TU8J2-1371	BSU09950	-
TU8J2-1085	BSU04250	+
TU8J2-961	BSU08980	+
TU8J2-573	BSU29100 // BSU29110	-
TU8J2-28	BSU02290 // BSU02280 // BSU02270	+
TU8J2-1315	BSU01560	+
TU8J2-1126	BSU03180	+
TU8J2-905	BSU11530	+
TU8J2-614	BSU28100 // BSU28110	-
TU8J2-223	BSU40450	+
TU8J2-1357	BSU08740	-
TU8J2-1070	BSU04740 // BSU04730 // BSU04720 // BSU04710 // BSU04700 // BSU04690 // BSU04680 // BSU04670	+
TU8J2-947	BSU09430	-
TU8J2-559	BSU29470	-
TU8J2-265	BSU39460 // BSU39470 // BSU39480 // BSU39490 // BSU39500 // BSU39510 // BSU39520	-
TU8J2-1300	BSU30700	-
TU8J2-1111	BSU03580	-
TU8J2-891	BSU12420	+
TU8J2-60	BSU26390 // BSU25760	+
TU8J2-209	BSU40790	+
TU8J2-1342	BSU05380	-
TU8J2-1056	BSU06110 // BSU06100 // BSU06090	+
TU8J2-932	BSU10110	+
TU8J2-544	BSU29710 // BSU29700 // BSU29690	+
TU8J2-250	BSU39860	+
TU8J2-1287	BSU35030 // BSU35020 // BSU35010	+
TU8J2-1098	BSU03960	-
TU8J2-877	BSU13310	-
TU8J2-583	BSU28840 // BSU28850 // BSU28860 // BSU28870	-
TU8J2-194	BSU10910 // BSU10920 // BSU10930	-
TU8J2-1325	BSU03680	+
TU8J2-1041	BSU06650	-
TU8J2-915	BSU10660 // BSU10650 // BSU10640	+
TU8J2-53	BSU24500 // BSU24490	+
TU8J2-233	BSU40240	+
TU8J2-1272	BSU05800	-
TU8J2-1080	BSU04400	+
TU8J2-862	BSU13950	+
TU8J2-569	BSU29170 // BSU29180 // BSU29190	-
TU8J2-18	BSU22790	-
TU8J2-1310	BSU09200 // BSU09190	+
TU8J2-1027	BSU07420	-
TU8J2-900	BSU11760 // BSU11770 // BSU11780	-
TU8J2-515	BSU30670	-
TU8J2-219	BSU40540	-
TU8J2-1258	BSU11010	-
TU8J2-1066	BSU05490	+
TU8J2-848	BSU14610 // BSU14600 // BSU14590 // BSU14580	+
TU8J2-554	BSU29550	-
TU8J2-165	BSU05550 // BSU05560 // BSU05570	-
TU8J2-1297	BSU18470 // BSU18480	-
TU8J2-1012	BSU07820 // BSU07810 // BSU07800	+
TU8J2-887	BSU12649 // BSU12619 // BSU12660 // BSU12650 // BSU12640 // BSU12630 // BSU12620 // BSU12610 // BSU12600 // BSU12590 // BSU12580 // BSU12570	+
TU8J2-500	BSU31270	+
TU8J2-204	BSU40950	+
TU8J2-1243	BSU23050	-
TU8J2-1051	BSU06220	-
TU8J2-833	BSU_misc_RNA_28 // BSU_misc_RNA_27 // BSU_misc_RNA_26 // BSU15560 // BSU15550 // BSU15540 // BSU15530 // BSU15520 // BSU15510 // BSU15500 // BSU15490 // BSU15480 // BSU15470	+
TU8J2-54	BSU25200 // BSU25210 // BSU25230	-
TU8J2-1573	BSU40460	-
TU8J2-1282	BSU_misc_RNA_55 // BSU33600 // BSU33610 // BSU33620	-
TU8J2-1	BSU14700	-
