Proteins	Accession-1	Common-Name	Genes of polypeptide, complex, or RNA	Locations	Gene
BSU27230-MONOMER		formate dehydrogenase ForE2	BSU27230		BSU27230
BSU37480-MONOMER		putative tRNA editing enzyme	BSU37480		BSU37480
BSU39120-MONOMER		pectin acetylesterase	BSU39120	CCI-PM-BAC-POS-GP // CCO-CE-BAC	BSU39120
BSU05190-MONOMER		putative permease	BSU05190	CCI-PM-BAC-POS-GP	BSU05190
BSU17190-MONOMER		polyketide synthase of type I (bacillaene synthesis)	BSU17190	CCI-CYTOSOL-GP	BSU17190
BSU19170-MONOMER		putative carboxypeptidase; aminoacid adenylate hydrolase (microcin resistance)	BSU19170		BSU19170
BSU20760-MONOMER		hypothetical protein; phage SPbeta	BSU20760		BSU20760
BSU30900-MONOMER		spore coat protein	BSU30900		BSU30900
BSU34470-MONOMER		L-aspartate/L-glutamate / proton permease	BSU34470	CCI-PM-BAC-POS-GP	BSU34470
BSU41060-MONOMER		ribosomal protein L34	BSU41060	CCI-RIBOSOME-GP	BSU41060
BSU14320-MONOMER		ABC family transporter ATP-binding/membrane protein YknU	BSU14320	CCI-PM-BAC-POS-GP	BSU14320
BSU08850-MONOMER		aliphatic sulfonate ABC transporter, membrane subunit	BSU08850	CCI-PM-BAC-POS-GP	BSU08850
BSU02750-MONOMER		Na<sup>+</sup> ABC efflux transporter ATP-binding protein	BSU02750		BSU02750
BSU12750-MONOMER		phage PBSX; conserved hypothetical protein	BSU12750		BSU12750
BSU24380-MONOMER		stage III sporulation protein (feeding tube apparatus)	BSU24380	CCI-PM-BAC-POS-GP	BSU24380
BSU38140-MONOMER		cytochrome aa3-600 quinol oxidase (subunit IV)	BSU38140	CCI-PM-BAC-POS-GP	BSU38140
BSU19770-MONOMER		protein involved in maturation of the outermost layer of the spore	BSU19770		BSU19770
BSU22740-MONOMER		heptaprenyl diphosphate synthase component II	BSU22740		BSU22740
BSU28020-MONOMER		cell-shape determining protein	BSU28020	CCI-PM-BAC-POS-GP	BSU28020
BSU13400-MONOMER		ATP-dependent DNA ligase subunit; 5'-2-deoxyribose-5-phosphate (dRP) lyase	BSU13400		BSU13400
BSU23402-MONOMER		spore germinant protein	BSU23402		BSU23402
BSU26380-MONOMER		putative peptidase; skin element	BSU26380		BSU26380
BSU05980-MONOMER		component of the twin-arginine pre-protein translocation pathway	BSU05980	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP	BSU05980
BSU27070-MONOMER		phosphotransferase system (PTS) fructose-specific enzyme IIA component	BSU27070	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP	BSU27070
BSU05050-MONOMER		transcriptional regulator (Lrp/AsnC family)	BSU05050		BSU05050
BSU04400-MONOMER		general stress protein glucose starvation induced	BSU04400		BSU04400
BSU17990-MONOMER		small acid-soluble spore protein	BSU17990		BSU17990
BSU17020-MONOMER		master regulator for biofilm formation via regulation of RNase Y (RicAFT complex / FAD / two [4Fe-4S]2+)	BSU17020		BSU17020
BSU30740-MONOMER		Mn<sup>2+</sup> ABC transporter membrane subunit MntD	BSU30740	CCI-PM-BAC-POS-GP	BSU30740
BSU16330-MONOMER		regulator of chemotaxis and motility	BSU16330	CCI-CYTOSOL-GP	BSU16330
BSU31690-MONOMER		ComP two-component sensory histidine kinase	BSU31690	CCI-PM-BAC-POS-GP	BSU31690
BSU34310-MONOMER		biofilm extracellular matrix formation chain-length determining factor	BSU34310	CCI-PM-BAC-POS-GP	BSU34310
BSU08700-MONOMER		putative membrane protein	BSU08700	CCI-PM-BAC-POS-GP	BSU08700
BSU30070-MONOMER		glycine betaine transporter	BSU30070	CCI-PM-BAC-POS-GP	BSU30070
BSU35290-MONOMER		peptide chain release factor 2	BSU35290	CCI-CYTOSOL-GP	BSU35290
BSU02600-MONOMER		spore cortex cell wall hydrolase	BSU02600	CCI-EXTRACELLULAR-GP	BSU02600
BSU37980-MONOMER		putative glycosyltransferase	BSU37980		BSU37980
BSU33640-MONOMER		putative hydrolase	BSU33640		BSU33640
BSU09680-MONOMER		Na+/H+ antiporter	BSU09680	CCI-PM-BAC-POS-GP	BSU09680
BSU19640-MONOMER		shape determination factor	BSU19640		BSU19640
BSU34399-MONOMER		hypothetical protein	BSU34399	CCI-PM-BAC-POS-GP	BSU34399
BSU08030-MONOMER		tRNA-dihydrouridine synthase 2	BSU08030		BSU08030
BSU03560-MONOMER		putative PLP-dependent transcriptional regulator	BSU03560		BSU03560
BSU13240-MONOMER		thiamine-binding protein (oxidation stress protein)	BSU13240		BSU13240
BSU23240-MONOMER		putative riboflavin synthesis-related N-acetyltransferase	BSU23240		BSU23240
BSU01935-MONOMER		sporulation killing factor biosynthesis and export	BSU01935	CCI-PM-BAC-POS-GP	BSU01935
BSU38950-MONOMER		putative methyl-tetrahydrofolate methyltransferase (biofilm formation)	BSU38950		BSU38950
BSU26910-MONOMER		putative hydrolase	BSU26910		BSU26910
BSU04890-MONOMER		ICEBs1 mobile element: conserved protein of unknown function	BSU04890		BSU04890
BSU37320-MONOMER		nitrite extrusion permease	BSU37320	CCI-PM-BAC-POS-GP	BSU37320
BSU20600-MONOMER		hypothetical protein; phage SPbeta	BSU20600		BSU20600
BSU16825-MONOMER		bacillibactin exporter	BSU16825	CCI-PM-BAC-POS-GP	BSU16825
BSU30580-MONOMER		putative esterase	BSU30580		BSU30580
BSU19010-MONOMER		putative phage protein; putative defective prophage 6	BSU19010		BSU19010
BSU14160-MONOMER		conserved hypothetical protein	BSU14160		BSU14160
BSU34140-MONOMER		galacto-oligosaccharides (galactan) oligomer permease	BSU34140	CCI-PM-BAC-POS-GP	BSU34140
BSU08540-MONOMER		putative efflux transporter	BSU08540	CCI-PM-BAC-POS-GP	BSU08540
BSU40910-MONOMER		ribosomal protein S6 (BS9)	BSU40910	CCI-RIBOSOME-GP	BSU40910
BSU24210-MONOMER		putative NADH-dependent flavin oxidoreductase	BSU24210		BSU24210
BSU02440-MONOMER		GlnK two-component sensory histidine kinase	BSU02440	CCI-PM-BAC-POS-GP	BSU02440
BSU37820-MONOMER		putative dTDP-4-dehydrorhamnose reductase	BSU37820	CCI-CYTOSOL-GP	BSU37820
BSU12620-MONOMER		phage PBSX; conserved hypothetical protein	BSU12620		BSU12620
BSU27860-MONOMER		nicotinate-nucleotide pyrophosphorylase (quinolinate phosphoribosyltransferase)	BSU27860	CCI-CYTOSOL-GP	BSU27860
BSU19490-MONOMER		component of the spore coat	BSU19490		BSU19490
BSU26449-MONOMER		hypothetical protein	BSU26449		BSU26449
BSU22580-MONOMER		conserved protein of unknown function	BSU22580		BSU22580
BSU05810-MONOMER		oligo-alpha-mannoside phosphotransferase system enzyme IIB	BSU05810	CCI-CYTOSOL-GP	BSU05810
BSU13090-MONOMER		guanidinium efflux transporter subunit	BSU13090	CCI-PM-BAC-POS-GP	BSU13090
BSU23080-MONOMER		3-dehydroquinate dehydratase	BSU23080		BSU23080
BSU26230-MONOMER		conserved phage protein of unknown function; skin element	BSU26230		BSU26230
BSU17830-MONOMER		putative integral inner membrane protein	BSU17830	CCI-PM-BAC-POS-GP	BSU17830
BSU26740-MONOMER		cytochrome P450	BSU26740		BSU26740
BSU04740-MONOMER		serine phosphatase	BSU04740		BSU04740
BSU04240-MONOMER		conserved protein of unknown function	BSU04240	CCI-PM-BAC-POS-GP	BSU04240
BSU31530-MONOMER		MalR two-component response regulator	BSU31530	CCI-CYTOSOL-GP	BSU31530
BSU16670-MONOMER		riboflavin biosynthesis protein RibC	BSU16670		BSU16670
BSU30420-MONOMER		putative ABC transporter ATP-binding protein YtrE	BSU30420	CCI-PM-BAC-POS-GP	BSU30420
BSU16180-MONOMER		flagellar component of cell-proximal portion of basal-body rod	BSU16180	CCO-CELL-PROJECTION	BSU16180
BSU35120-MONOMER		conserved protein of unknown function, stress-related	BSU35120	CCI-PM-BAC-POS-GP	BSU35120
BSU33980-MONOMER		putative alkanal monooxygenase	BSU33980	CCI-CYTOSOL-GP	BSU33980
BSU08370-MONOMER		transcriptional regulator (TetR/AcrR family)	BSU08370		BSU08370
BSU29900-MONOMER		tRNA (guanine-N(7)-)-methyltransferase	BSU29900		BSU29900
BSU09510-MONOMER		negative regulator of the activity of sigma-M	BSU09510	CCI-PM-BAC-POS-GP	BSU09510
BSU02280-MONOMER		putative membrane phosphatase	BSU02280	CCI-PM-BAC-POS-GP	BSU02280
BSU37660-MONOMER		phosphotransacetylase	BSU37660	CCI-CYTOSOL-GP	BSU37660
BSU33480-MONOMER		thiol-disulfide oxidoreductase	BSU33480		BSU33480
BSU03400-MONOMER		putative exported protein	BSU03400		BSU03400
BSU19340-MONOMER		putative sodium-dependent transporter	BSU19340	CCI-PM-BAC-POS-GP	BSU19340
BSU18595-MONOMER		hypothetical protein	BSU18595		BSU18595
BSU07870-MONOMER		conserved hypothetical protein	BSU07870		BSU07870
BSU38790-MONOMER		putative bacteriocin	BSU38790		BSU38790
BSU12930-MONOMER		dipeptide ABC transporter membrane subunit DppB	BSU12930	CCI-PM-BAC-POS-GP	BSU12930
BSU22900-MONOMER		conserved hypothetical protein	BSU22900		BSU22900
BSU01760-MONOMER		regulator of diadenylate cyclase activity	BSU01760	CCI-PM-BAC-POS-GP	BSU01760
BSU20440-MONOMER		conserved hypothetical protein; phage SPbeta	BSU20440		BSU20440
BSU26590-MONOMER		spermidine efflux transporter Blt	BSU26590	CCI-PM-BAC-POS-GP	BSU26590
BSU04580-MONOMER		ATP-dependent RNA helicase; cold shock	BSU04580	CCI-RIBOSOME-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP // CCI-BAC-NUCLEOID-GP	BSU04580
BSU37160-MONOMER		RNA polymerase (delta subunit) and transcriptional repressor	BSU37160		BSU37160
BSU14010-MONOMER		coupling protein and response regulator for CheA activity in response to attractants (chemotaxis)	BSU14010		BSU14010
BSU16510-MONOMER		uridylate kinase	BSU16510	CCI-CYTOSOL-GP	BSU16510
BSU30260-MONOMER		transcriptional regulator (LacI family)	BSU30260	CCI-CYTOSOL-GP	BSU30260
BSU18880-MONOMER		putative SOS response associated phage protein; putative defective prophage 6	BSU18880		BSU18880
BSU24050-MONOMER		branched-chain alpha-keto acid dehydrogenase E1 subunit	BSU24050		BSU24050
BSU33820-MONOMER		glycine betaine/carnitine/choline/choline sulfate ABC transporter, membrane subunit OpuCB	BSU33820	CCI-PM-BAC-POS-GP	BSU33820
BSU08210-MONOMER		ABC family transporter ATP-binding/membrane protein YfiB	BSU08210	CCI-PM-BAC-POS-GP	BSU08210
BSU40750-MONOMER		conserved hypothetical protein	BSU40750		BSU40750
BSU27710-MONOMER		tRNA-guanine transglycosylase	BSU27710	CCI-CYTOSOL-GP	BSU27710
BSU02120-MONOMER		H+/serine transporter	BSU02120	CCI-PM-BAC-POS-GP	BSU02120
BSU37500-MONOMER		spermidine synthase; polyamine metabolism	BSU37500	CCI-CYTOSOL-GP	BSU37500
BSU12490-MONOMER		phage PBSX; manganese-containing peroxidase	BSU12490		BSU12490
BSU05650-MONOMER		putative membrane component	BSU05650	CCI-PM-BAC-POS-GP	BSU05650
BSU19190-MONOMER		DesK two-component sensory histidine kinase	BSU19190	CCI-PM-BAC-POS-GP	BSU19190
BSU02585-MONOMER		hypothetical protein	BSU02585	CCI-PM-BAC-POS-GP	BSU02585
BSU22420-MONOMER		pantothenate synthetase	BSU22420	CCI-CYTOSOL-GP	BSU22420
BSU17680-MONOMER		thymidylate synthase A (phage origin)	BSU17680	CCI-CYTOSOL-GP	BSU17680
BSU12770-MONOMER		phage PBSX; conserved hypothetical protein	BSU12770		BSU12770
BSU22760-MONOMER		heptaprenyl diphosphate synthase component I	BSU22760		BSU22760
BSU26075-MONOMER		putative phage tail sheath protein; skin element	BSU26075		BSU26075
BSU31370-MONOMER		NADH-dependent butanol dehydrogenase	BSU31370	CCI-CYTOSOL-GP	BSU31370
BSU26410-MONOMER		phosphate starvation inducible protein	BSU26410	CCI-PM-BAC-POS-GP	BSU26410
BSU04420-MONOMER		conserved protein of unknown function	BSU04420		BSU04420
BSU04080-MONOMER		L-5-oxoprolinase (ATP-dependent) subunit B	BSU04080		BSU04080
BSU34960-MONOMER		dephosphorylated heptaprenylglyceryl phosphate O-acetyltransferase	BSU34960		BSU34960
BSU16350-MONOMER		component of the flagellar export machinery	BSU16350	CCI-PM-BAC-POS-GP // CCO-CELL-PROJECTION	BSU16350
BSU30090-MONOMER		putative membrane enzyme for rhamnogalaturonan degradation	BSU30090	CCI-PM-BAC-POS-GP	BSU30090
BSU16020-MONOMER		16S rRNA processing protein	BSU16020	CCI-RIBOSOME-GP // CCI-CYTOSOL-GP	BSU16020
BSU09350-MONOMER		conserved hypothetical protein	BSU09350		BSU09350
BSU33660-MONOMER		transcriptional repressor	BSU33660		BSU33660
BSU08050-MONOMER		conserved hypothetical protein	BSU08050		BSU08050
BSU29730-MONOMER		sodium channel stator-force generator subunit of flagellar rotation	BSU29730	CCI-PM-BAC-POS-GP	BSU29730
BSU03250-MONOMER		putative permease	BSU03250	CCI-PM-BAC-POS-GP	BSU03250
BSU01960-MONOMER		sporulation killing factor efflux transporter, membrane protein SkfF	BSU01960	CCI-PM-BAC-POS-GP	BSU01960
BSU37340-MONOMER		putative RNA binding protein	BSU37340		BSU37340
BSU33320-MONOMER		iron(III) hydroxamate ABC transporter ferrichrome-binding lipoprotein	BSU33320	CCI-PM-BAC-POS-GP	BSU33320
BSU38630-MONOMER		major catalase in spores	BSU38630	CCI-CYTOSOL-GP	BSU38630
BSU19030-MONOMER		putative phage-related pre-neck appendage protein; defective prophage 6	BSU19030		BSU19030
BSU40930-MONOMER		putative oxidoreductase (molybdoenzyme)	BSU40930	CCO-CE-BAC	BSU40930
BSU07700-MONOMER		phosphotransferase system (PTS) N-acetylglucosamine-specific enzyme IICB component	BSU07700	CCI-PM-BAC-POS-GP	BSU07700
BSU20280-MONOMER		putative nucleotide kinase or triphosphate hydrolase; phage SPbeta	BSU20280		BSU20280
BSU12640-MONOMER		phage PBSX; conserved hypothetical protein	BSU12640		BSU12640
BSU22600-MONOMER		3-phosphoshikimate 1-carboxyvinyltransferase (5-enolpyruvoylshikimate-3-phosphate synthase)	BSU22600	CCI-CYTOSOL-GP	BSU22600
BSU01600-MONOMER		iron-chelator (enterobactin family) esterase	BSU01600		BSU01600
BSU13860-MONOMER		Xaa-Pro Xaa-Pro-Xaa di-tri-peptidase used in osmoprotection	BSU13860		BSU13860
BSU26250-MONOMER		putative Holliday junction resolvase; skin element	BSU26250		BSU26250
BSU04260-MONOMER		DNA topoisomerase III	BSU04260		BSU04260
BSU37000-MONOMER		glutamine methylase of release factor 1 (and perhaps others) at a GGQ site	BSU37000		BSU37000
BSU23890-MONOMER		Sec-independent factor for membrane protein insertion (YidC/SpoIIIJ family)	BSU23890	CCI-PM-BAC-POS-GP	BSU23890
BSU16200-MONOMER		flagellar basal body protein	BSU16200	CCO-CELL-PROJECTION	BSU16200
BSU29920-MONOMER		putative kinase/phosphotransferase	BSU29920		BSU29920
BSU18730-MONOMER		putative toxin of a toxin / antitoxin system	BSU18730	CCI-PM-BAC-POS-GP	BSU18730
BSU27550-MONOMER		aspartyl-tRNA synthetase, promiscuous (also recognizes tRNAasn)	BSU27550	CCI-CYTOSOL-GP	BSU27550
BSU33500-MONOMER		Cu<sup>+</sup> exporting P-type ATPase	BSU33500	CCI-PM-BAC-POS-GP	BSU33500
BSU07890-MONOMER		conserved hypothetical protein	BSU07890		BSU07890
BSU40590-MONOMER		putative transporter permease subunit	BSU40590		BSU40590
BSU05500-MONOMER		putative membrane bound oxidoreductase	BSU05500	CCI-PM-BAC-POS-GP	BSU05500
BSU01780-MONOMER		L-glutamine-D-fructose-6-phosphate amidotransferase	BSU01780	CCI-CYTOSOL-GP	BSU01780
BSU37180-MONOMER		putative iron-sulphur-binding reductase	BSU37180	CCI-PM-BAC-POS-GP	BSU37180
BSU12330-MONOMER		putative oxidoreductase	BSU12330	CCI-CYTOSOL-GP	BSU12330
BSU17530-MONOMER		conserved hypothetical protein	BSU17530		BSU17530
BSU18898-MONOMER		hypothetical protein; putative defective prophage 6	BSU18898		BSU18898
BSU40770-MONOMER		multifunctional tetracycline-metal/H+ antiporter and Na+(K+)/H+ antiporter	BSU40770	CCI-PM-BAC-POS-GP	BSU40770
BSU22260-MONOMER		putative sporulation protein	BSU22260		BSU22260
BSU31240-MONOMER		methyl-accepting chemotaxis protein	BSU31240	CCI-PM-BAC-POS-GP	BSU31240
BSU12510-MONOMER		phage PBSX transcriptional regulator	BSU12510		BSU12510
BSU22440-MONOMER		biotin acetyl-CoA-carboxylase ligase and biotin regulon repressor (BirA-biotinoyl-5'-AMP)	BSU22440	CCI-CYTOSOL-GP	BSU22440
BSU25900-MONOMER		N-acetylmuramoyl-L-alanine amidase; skin element	BSU25900		BSU25900
BSU34800-MONOMER		secreted cell wall DL-endopeptidase	BSU34800	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU34800
BSU26090-MONOMER		conserved phage protein of unknown function; skin element	BSU26090		BSU26090
BSU04100-MONOMER		transcriptional regulator of the pxp operon (IclR family)	BSU04100		BSU04100
BSU03940-MONOMER		putative membrane protein involved in copper intake	BSU03940	CCI-PM-BAC-POS-GP	BSU03940
BSU09190-MONOMER		non specific extracellular Ca2+-dependent endonuclease cleaving RNA and DNA	BSU09190	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU09190
BSU16040-MONOMER		ribosomal protein L19	BSU16040	CCI-RIBOSOME-GP	BSU16040
BSU29750-MONOMER		bifunctional chorismate mutase type II-isozyme 3 (regulatory domain); 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase	BSU29750		BSU29750
BSU15850-MONOMER		L-serine dehydratase (beta chain)	BSU15850		BSU15850
BSU03090-MONOMER		putative aminoacid export permease	BSU03090	CCI-PM-BAC-POS-GP	BSU03090
BSU33340-MONOMER		small acid-soluble spore protein	BSU33340		BSU33340
BSU07720-MONOMER		hypothetical protein	BSU07720		BSU07720
BSU29570-MONOMER		small acid-soluble spore protein (alpha-type SASP)	BSU29570		BSU29570
BSU38470-MONOMER		exported double-zinc aminopeptidase	BSU38470	CCI-EXTRACELLULAR-GP	BSU38470
BSU01620-MONOMER		ferri-bacillibactin permease	BSU01620	CCI-PM-BAC-POS-GP	BSU01620
BSU37020-MONOMER		putative enzyme	BSU37020		BSU37020
BSU33180-MONOMER		putative lipoprotein binding vitamin B12	BSU33180	CCI-PM-BAC-POS-GP	BSU33180
BSU20120-MONOMER		conserved hypothetical protein; phage SPbeta	BSU20120		BSU20120
BSU18750-MONOMER		putative integral inner membrane protein	BSU18750	CCI-PM-BAC-POS-GP	BSU18750
BSU40610-MONOMER		putative transporter permease subunit	BSU40610		BSU40610
BSU07530-MONOMER		conserved hypothetical protein	BSU07530		BSU07530
MONOMER8J2-47		Fur-regulated basic protein A	G8J2-18		G8J2-18
BSU12350-MONOMER		fructuronate reductase	BSU12350		BSU12350
BSU22280-MONOMER		putative sporulation protein	BSU22280		BSU22280
BSU01440-MONOMER		ribosomal protein L17 (BL15)	BSU01440	CCI-RIBOSOME-GP	BSU01440
BSU13730-MONOMER		6-carboxy-5,6,7,8-tetrahydropterin synthase; queuosine biosynthesis	BSU13730		BSU13730
BSU25920-MONOMER		putative phage-related lytic exoenzyme; skin element	BSU25920		BSU25920
BSU03960-MONOMER		transcriptional regulator of copper intake (CutR-Cu(+))	BSU03960	CCI-CYTOSOL-GP	BSU03960
BSU36840-MONOMER		ATP synthase (subunit delta, component F1)	BSU36840	CCI-PM-BAC-POS-GP	BSU36840
BSU23730-MONOMER		putative efflux transporter	BSU23730	CCI-PM-BAC-POS-GP	BSU23730
BSU15870-MONOMER		branch migrating ATP-dependent DNA helicase involved in DNA recombination and repair	BSU15870		BSU15870
BSU29590-MONOMER		cysteine desulfurase	BSU29590		BSU29590
BSU18590-MONOMER		putative phage-related membrane protein	BSU18590	CCI-PM-BAC-POS-GP	BSU18590
BSU27410-MONOMER		alanyl-tRNA synthetase	BSU27410	CCI-CYTOSOL-GP	BSU27410
BSU33200-MONOMER		putative sugar lactone lactonase	BSU33200	CCI-CYTOSOL-GP	BSU33200
BSU07560-MONOMER		pectate lyase	BSU07560	CCI-EXTRACELLULAR-GP	BSU07560
BSU40440-MONOMER		replicative DNA helicase	BSU40440	CCI-CYTOSOL-GP	BSU40440
BSU05360-MONOMER		putative aminoacid exporter	BSU05360	CCI-PM-BAC-POS-GP	BSU05360
BSU01460-MONOMER		putative ECF transporter, ATP-binding component YbaE	BSU01460	CCI-PM-BAC-POS-GP	BSU01460
BSU36860-MONOMER		ATP synthase (subunit c, component F0)	BSU36860	CCI-PM-BAC-POS-GP	BSU36860
BSU12180-MONOMER		putative lipoprotein	BSU12180	CCI-PM-BAC-POS-GP	BSU12180
BSU17370-MONOMER		co-factor of ribonucleotide diphosphate reductase	BSU17370		BSU17370
BSU18610-MONOMER		putative methyl-accepting chemotaxis protein	BSU18610	CCI-PM-BAC-POS-GP	BSU18610
BSU40460-MONOMER		conserved protein of unknown function	BSU40460		BSU40460
BSU22110-MONOMER		2-keto-3-deoxygluconate kinase	BSU22110		BSU22110
BSU31080-MONOMER		biofilm hydrophobic layer component	BSU31080	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU31080
BSU12200-MONOMER		hypothetical protein	BSU12200		BSU12200
BSU22130-MONOMER		4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase, 5-keto-4-deoxyuronate isomerase	BSU22130		BSU22130
BSU25730-MONOMER		putative catabolic 6-phospho-gluconate dehydrogenase (NAD[+]-dependent)	BSU25730		BSU25730
BSU34650-MONOMER		putative pyrophosphohydrolase	BSU34650		BSU34650
BSU25750-MONOMER		sporulation-specific matrix degrading exported DNase	BSU25750	CCI-EXTRACELLULAR-GP	BSU25750
BSU15710-MONOMER		primosomal replication factor Y (primosomal protein N')	BSU15710		BSU15710
BSU15690-MONOMER		omega subunit of RNA polymerase	BSU15690		BSU15690
BSU09020-MONOMER		NADH:quinone oxidoreductase associated to benzoate stress	BSU09020		BSU09020
BSU29430-MONOMER		conserved protein of unknown function	BSU29430		BSU29430
BSU33049-MONOMER		conserved protein of unknown function	BSU33049		BSU33049
BSU29410-MONOMER		putative metal-dependent hydrolase	BSU29410		BSU29410
BSU02930-MONOMER		putative toxic compound adaptation protein (tellurite resistance)	BSU02930		BSU02930
BSU07380-MONOMER		conserved hypothetical protein	BSU07380	CCI-PM-BAC-POS-GP	BSU07380
BSU01310-MONOMER		ribosomal protein L6 (BL8)	BSU01310	CCI-RIBOSOME-GP	BSU01310
BSU33030-MONOMER		putative transcriptional regulator	BSU33030		BSU33030
BSU38310-MONOMER		transcriptional regulator (LysR family, cidAB expression)	BSU38310	CCI-CYTOSOL-GP	BSU38310
BSU36700-MONOMER		GTP 3',8-cyclase	BSU36700		BSU36700
BSU18450-MONOMER		glutamate synthase (large subunit, NADP-dependent)	BSU18450		BSU18450
BSU07360-MONOMER		chemotaxis sensory transducer (sensed target unknown)	BSU07360	CCI-PM-BAC-POS-GP	BSU07360
BSU19970-MONOMER		conserved hypothetical protein; phage SPbeta	BSU19970		BSU19970
BSU40300-MONOMER		response regulator aspartate phosphatase	BSU40300		BSU40300
BSU12050-MONOMER		putative spore coat protein	BSU12050		BSU12050
BSU01290-MONOMER		ribosomal protein S14	BSU01290	CCI-RIBOSOME-GP	BSU01290
BSU13570-MONOMER		ketoglutaramate omega-amidase	BSU13570		BSU13570
BSU21980-MONOMER		preQ0 transporter (promiscuous)	BSU21980	CCI-PM-BAC-POS-GP	BSU21980
BSU25590-MONOMER		membrane bound high-affinity DNA-binding receptor	BSU25590	CCI-PM-BAC-POS-GP	BSU25590
BSU36680-MONOMER		putative integral membrane protein	BSU36680	CCI-PM-BAC-POS-GP	BSU36680
BSU23570-MONOMER		L-aspartase (aspartate ammonia lyase)	BSU23570	CCI-CYTOSOL-GP	BSU23570
BSU15550-MONOMER		orotidine 5'-phosphate decarboxylase	BSU15550	CCI-CYTOSOL-GP	BSU15550
BSU29270-MONOMER		conserved protein of unknown function	BSU29270		BSU29270
BSU18430-MONOMER		putative oxidoreductase	BSU18430		BSU18430
BSU27250-MONOMER		cystathionine gamma-lyase and homocysteine gamma-lyase for reverse transsulfuration pathway	BSU27250	CCI-CYTOSOL-GP	BSU27250
BSU32880-MONOMER		multidrug-efflux transporter	BSU32880	CCI-PM-BAC-POS-GP	BSU32880
BSU07220-MONOMER		transcriptional regulator (FlvL-flavonoids)	BSU07220		BSU07220
BSU40280-MONOMER		conserved exported protein	BSU40280		BSU40280
BSU05210-MONOMER		conserved hypothetical protein	BSU05210		BSU05210
BSU01150-MONOMER		ribosomal protein S10 (BS13); transcription antitermination factor	BSU01150	CCI-RIBOSOME-GP	BSU01150
BSU29249-MONOMER		putative sporulation-related conserved protein	BSU29249		BSU29249
BSU12030-MONOMER		conserved hypothetical protein	BSU12030		BSU12030
BSU17210-MONOMER		trans AT polyketide synthase of type I involved in bacillaene synthesis	BSU17210	CCI-CYTOSOL-GP	BSU17210
BSU32859-MONOMER		conserved protein of unknown function	BSU32859		BSU32859
BSU07190-MONOMER		conserved hypothetical protein	BSU07190		BSU07190
BSU21960-MONOMER		conserved protein of unknown function	BSU21960		BSU21960
BSU30920-MONOMER		spore coat kinase	BSU30920		BSU30920
BSU01120-MONOMER		elongation factor G	BSU01120	CCI-CYTOSOL-GP	BSU01120
BSU36510-MONOMER		ammonium transporter	BSU36510	CCI-PM-BAC-POS-GP	BSU36510
BSU25570-MONOMER		DNA channel for uptake in competent cells	BSU25570	CCI-PM-BAC-POS-GP	BSU25570
BSU34490-MONOMER		sodium / proton antiporter subunit A	BSU34490	CCI-PM-BAC-POS-GP	BSU34490
BSU18260-MONOMER		isovaleryl-CoA dehydrogenase (leucine degradation)	BSU18260		BSU18260
BSU10910-MONOMER		putative adenylylsulfate kinase	BSU10910		BSU10910
BSU15530-MONOMER		dihydroorotate dehydrogenase (electron transfer subunit)	BSU15530		BSU15530
BSU08870-MONOMER		putative sulfur-related oxidoreductase	BSU08870		BSU08870
BSU40139-MONOMER		hypothetical protein	BSU40139	CCI-PM-BAC-POS-GP	BSU40139
BSU11880-MONOMER		cystathionine beta-lyase	BSU11880	CCI-CYTOSOL-GP	BSU11880
BSU15500-MONOMER		dihydroorotase	BSU15500		BSU15500
BSU02770-MONOMER		putative ion channel associated aldo-keto reductase	BSU02770	CCI-CYTOSOL-GP	BSU02770
BSU21790-MONOMER		putative membrane hydrolase	BSU21790	CCI-PM-BAC-POS-GP	BSU21790
BSU25410-MONOMER		ribosomal protein S21	BSU25410	CCI-RIBOSOME-GP	BSU25410
BSU29239-MONOMER		membrane protein involved in a sporulation process	BSU29239	CCI-PM-BAC-POS-GP	BSU29239
BSU38160-MONOMER		cytochrome aa3-600 quinol oxidase (subunit I)	BSU38160	CCI-PM-BAC-POS-GP	BSU38160
BSU15360-MONOMER		essential sporulation protein	BSU15360		BSU15360
BSU29100-MONOMER		PhoR two-component sensory histidine kinase	BSU29100	CCI-PM-BAC-POS-GP	BSU29100
BSU32849-MONOMER		conserved protein of unknown function	BSU32849		BSU32849
BSU19790-MONOMER		protein involved in maturation of the outermost layer of the spore	BSU19790		BSU19790
BSU32719-MONOMER		putative toxin of a toxin antitoxin system	BSU32719		BSU32719
BSU07010-MONOMER		transcriptional regulator (AraC/XylS family)	BSU07010	CCI-PM-BAC-POS-GP	BSU07010
BSU07150-MONOMER		heme-degrading monooxygenase	BSU07150	CCI-CYTOSOL-GP	BSU07150
BSU13420-MONOMER		diguanylate cyclase	BSU13420	CCI-PM-BAC-POS-GP	BSU13420
