Transcription-Units	Genes of transcription unit	Direction
TU1G01-1856	G1G01-1765 // G1G01-1764	+
TU1G01-3568	G1G01-3349 // G1G01-3348	-
TU1G01-4230	G1G01-3938	-
TU1G01-7248	G1G01-903	+
TU1G01-2522	G1G01-2370 // G1G01-2369 // G1G01-2368 // G1G01-2367 // G1G01-2366 // G1G01-2365	-
TU1G01-4908	G1G01-4650 // G1G01-4649	-
TU1G01-558	G1G01-532 // G1G01-531	+
TU1G01-6240	G1G01-5387	+
TU1G01-2870	G1G01-2684	+
TU1G01-104	G1G01-80	-
TU1G01-1826	G1G01-1733	+
TU1G01-354	G1G01-315	-
TU1G01-4200	G1G01-3919 // G1G01-3918	+
TU1G01-722	G1G01-699	+
TU1G01-2494	G1G01-2339 // G1G01-2338	+
TU1G01-4874	G1G01-4608	+
TU1G01-5550	G1G01-5234 // G1G01-5233	-
TU1G01-6212	G1G01-5492	+
TU1G01-2840	G1G01-2663	-
TU1G01-1010	G1G01-951 // G1G01-950 // G1G01-949	-
TU1G01-18	G1G01-16 // G1G01-15 // G1G01-14	+
TU1G01-3510	G1G01-3299	-
TU1G01-4174	G1G01-3896	-
TU1G01-7192	G1G01-1171	+
TU1G01-2464	G1G01-2314	-
TU1G01-4840	G1G01-4578 // G1G01-4577 // G1G01-4576 // G1G01-4575 // G1G01-4574	+
TU1G01-552	G1G01-527	+
TU1G01-6184	G1G01-5559	+
TU1G01-2812	G1G01-2639 // G1G01-2638	+
TU1G01-1770	G1G01-1685 // G1G01-1684	-
TU1G01-3480	G1G01-3264	-
TU1G01-4144	G1G01-3876 // G1G01-3875 // G1G01-3874 // G1G01-3873	-
TU1G01-7162	G1G01-1341	+
TU1G01-2434	G1G01-2290	+
TU1G01-4812	G1G01-4545	-
TU1G01-5490	G1G01-5178	+
TU1G01-5484	G1G01-5174 // G1G01-5173	+
TU1G01-6150	G1G01-5631	+
TU1G01-278	G1G01-238	-
TU1G01-1736	G1G01-1639 // G1G01-1638 // G1G01-1637	-
TU1G01-3446	G1G01-3220 // G1G01-3219 // G1G01-3218	-
TU1G01-4110	G1G01-3841	+
TU1G01-7128	G1G01-1503	+
TU1G01-240	G1G01-200	-
TU1G01-478	G1G01-433 // G1G01-432	-
TU1G01-5456	G1G01-5148 // G1G01-5147	-
TU1G01-6120	G1G01-5720	+
TU1G01-1706	G1G01-1608 // G1G01-1607	+
TU1G01-3418	G1G01-3191	+
TU1G01-4080	G1G01-3815	-
TU1G01-710	G1G01-689	-
TU1G01-2372	G1G01-2242	-
TU1G01-4750	G1G01-4480 // G1G01-4479 // G1G01-4478	+
TU1G01-5426	G1G01-5116 // G1G01-5115	-
TU1G01-6092	G1G01-5772 // G1G01-5771 // G1G01-5770	-
TU1G01-1678	G1G01-1585	+
TU1G01-3388	G1G01-3169	-
TU1G01-7070	G1G01-1856	-
TU1G01-2342	G1G01-2215	-
TU1G01-4058	G1G01-3800	+
TU1G01-4720	G1G01-4445	-
TU1G01-54	G1G01-42	-
TU1G01-6062	G1G01-5729 // G1G01-5728 // G1G01-5727 // G1G01-5726 // G1G01-5725 // G1G01-5724	-
TU1G01-1648	G1G01-1557	+
TU1G01-336	G1G01-301	-
TU1G01-7040	G1G01-1938	-
TU1G01-2314	G1G01-2196	+
TU1G01-4028	G1G01-3779	+
TU1G01-4692	G1G01-4410 // G1G01-4409	-
TU1G01-972	G1G01-908 // G1G01-907	+
TU1G01-5376	G1G01-5079	+
TU1G01-6034	G1G01-5693	-
TU1G01-162	G1G01-139 // G1G01-138	-
TU1G01-3330	G1G01-3116	-
TU1G01-7012	G1G01-2007	-
TU1G01-2284	G1G01-2168 // G1G01-2167 // G1G01-2166 // G1G01-2165 // G1G01-2164 // G1G01-2163	-
TU1G01-400	G1G01-364	-
TU1G01-4662	G1G01-4375	+
TU1G01-942	G1G01-881	-
TU1G01-5342	G1G01-5050 // G1G01-5049 // G1G01-5048 // G1G01-5047	-
TU1G01-6004	G1G01-5674 // G1G01-5673	+
TU1G01-1592	G1G01-1511	-
TU1G01-6668	G1G01-3739	+
TU1G01-3300	G1G01-3090	+
TU1G01-6984	G1G01-2216	+
TU1G01-2256	G1G01-2136 // G1G01-2135 // G1G01-2134 // G1G01-2133	+
TU1G01-3974	G1G01-3735 // G1G01-3734	+
TU1G01-4634	G1G01-4353	+
TU1G01-914	G1G01-856	+
TU1G01-5314	G1G01-5021 // G1G01-5020	+
TU1G01-598	G1G01-582	-
TU1G01-1562	G1G01-1489	-
TU1G01-664	G1G01-641	+
TU1G01-3272	G1G01-3069 // G1G01-3068	+
TU1G01-6956	G1G01-2312	-
TU1G01-2226	G1G01-2112	+
TU1G01-3944	G1G01-3698	+
TU1G01-4604	G1G01-4321	+
TU1G01-884	G1G01-834 // G1G01-833 // G1G01-832	+
TU1G01-5284	G1G01-4992 // G1G01-4991 // G1G01-4990	-
TU1G01-5950	G1G01-5626	-
TU1G01-1534	G1G01-1460 // G1G01-1459 // G1G01-1458	-
TU1G01-6610	G1G01-3917	-
TU1G01-3242	G1G01-3046	-
TU1G01-1418	G1G01-1331 // G1G01-1330	-
TU1G01-6926	G1G01-2412	-
TU1G01-22	G1G01-18	+
TU1G01-3916	G1G01-3674	-
TU1G01-4576	G1G01-4296	+
TU1G01-856	G1G01-800 // G1G01-799 // G1G01-798 // G1G01-797	-
TU1G01-5256	G1G01-4969 // G1G01-4968	-
TU1G01-5920	G1G01-5604 // G1G01-5603	+
TU1G01-1504	G1G01-1436 // G1G01-1435	+
TU1G01-6582	G1G01-4005	+
TU1G01-3214	G1G01-3019 // G1G01-3018	+
TU1G01-1390	G1G01-1307 // G1G01-1306 // G1G01-1305 // G1G01-1304 // G1G01-1303	+
TU1G01-6898	G1G01-2545	+
TU1G01-2170	G1G01-2064 // G1G01-2063	-
TU1G01-3886	G1G01-3650	+
TU1G01-4544	G1G01-4273	+
TU1G01-826	G1G01-774	-
TU1G01-5226	G1G01-4937 // G1G01-4936	-
TU1G01-5890	G1G01-5582 // G1G01-5581 // G1G01-5580 // G1G01-5579 // G1G01-5578 // G1G01-5577	+
TU1G01-1476	G1G01-1399	+
TU1G01-6554	G1G01-4101	-
TU1G01-3186	G1G01-2989 // G1G01-2988 // G1G01-2987	+
TU1G01-1360	G1G01-1278	+
TU1G01-6868	G1G01-2645	-
TU1G01-2140	G1G01-2034	-
TU1G01-3858	G1G01-3630 // G1G01-3629 // G1G01-3628 // G1G01-3627	+
TU1G01-4514	G1G01-4239	+
TU1G01-8	G1G01-5786 // G1G01-5785 // G1G01-5784 // G1G01-5783 // G1G01-5782 // G1G01-5781 // G1G01-5780 // G1G01-5779 // G1G01-5778	-
TU1G01-52	G1G01-41	+
TU1G01-5860	G1G01-5541	-
TU1G01-6524	G1G01-4222	-
TU1G01-3158	G1G01-2967 // G1G01-2966	+
TU1G01-1332	G1G01-1260	-
TU1G01-684	G1G01-660 // G1G01-659	+
TU1G01-2112	G1G01-2003	-
TU1G01-3828	G1G01-3599	+
TU1G01-4484	G1G01-4215	-
TU1G01-770	G1G01-738 // G1G01-737 // G1G01-736	+
TU1G01-5170	G1G01-4878 // G1G01-4877	-
TU1G01-5832	G1G01-5520 // G1G01-5519 // G1G01-5518	-
TU1G01-6496	G1G01-4362	+
TU1G01-3128	G1G01-2926	-
TU1G01-1302	G1G01-1237	+
TU1G01-6810	G1G01-2921	+
TU1G01-2082	G1G01-1972	+
TU1G01-380	G1G01-339	-
TU1G01-4456	G1G01-4195	+
TU1G01-7455	G1G01-1158	-
TU1G01-2748	G1G01-2584	-
TU1G01-5140	G1G01-4846	-
TU1G01-5802	G1G01-5484 // G1G01-5483	-
TU1G01-6466	G1G01-4481	-
TU1G01-310	G1G01-274	+
TU1G01-1274	G1G01-1221	+
TU1G01-6782	G1G01-3112	+
TU1G01-2054	G1G01-1951	+
TU1G01-3772	G1G01-3544 // G1G01-3543	-
TU1G01-4426	G1G01-4162 // G1G01-4161	+
TU1G01-744	G1G01-717	+
TU1G01-272	G1G01-233 // G1G01-232 // G1G01-231 // G1G01-230 // G1G01-229 // G1G01-228 // G1G01-227	+
TU1G01-5112	G1G01-4823	-
TU1G01-5776	G1G01-5460 // G1G01-5459	+
TU1G01-6438	G1G01-4595	+
TU1G01-3068	G1G01-2864 // G1G01-2863	+
TU1G01-1242	G1G01-1189	-
TU1G01-6754	G1G01-3222	+
TU1G01-2024	G1G01-1930	-
TU1G01-3742	G1G01-3517 // G1G01-3516	-
TU1G01-44	G1G01-37 // G1G01-36 // G1G01-35	-
TU1G01-7416	G1G01-89	-
TU1G01-2690	G1G01-2527	-
TU1G01-5082	G1G01-4795	+
TU1G01-5746	G1G01-5418	-
TU1G01-6408	G1G01-4809	-
TU1G01-3038	G1G01-2837	+
TU1G01-1214	G1G01-1164	-
TU1G01-6724	G1G01-3461	-
TU1G01-2	G1G01-5774	-
TU1G01-3714	G1G01-3474 // G1G01-3473	+
TU1G01-4370	G1G01-4095	+
TU1G01-7388	G1G01-212	-
TU1G01-2660	G1G01-2489	-
TU1G01-5054	G1G01-4757	-
TU1G01-5718	G1G01-5394	+
TU1G01-6380	G1G01-4852	+
TU1G01-3008	G1G01-2809 // G1G01-2808 // G1G01-2807	+
TU1G01-1180	G1G01-1133	-
TU1G01-6696	G1G01-3592	-
TU1G01-1966	G1G01-1864	-
TU1G01-3684	G1G01-3449	-
TU1G01-4340	G1G01-4071	+
TU1G01-736	G1G01-711 // G1G01-710	+
TU1G01-2632	G1G01-2469	+
TU1G01-5024	G1G01-4734	+
TU1G01-5688	G1G01-5368 // G1G01-5367	-
TU1G01-6352	G1G01-4913	+
TU1G01-2980	G1G01-2771	+
TU1G01-1152	G1G01-1097 // G1G01-1096 // G1G01-1095	+
TU1G01-1938	G1G01-1842	+
TU1G01-3656	G1G01-3419 // G1G01-3418	+
TU1G01-4312	G1G01-4028	+
TU1G01-7330	G1G01-420	+
TU1G01-2602	G1G01-2451 // G1G01-2450	+
TU1G01-4998	G1G01-4715	+
TU1G01-566	G1G01-543 // G1G01-542 // G1G01-541	+
TU1G01-6322	G1G01-4976	-
TU1G01-2952	G1G01-2746	-
TU1G01-1120	G1G01-1063	-
TU1G01-1908	G1G01-1815	+
TU1G01-3624	G1G01-3395	-
TU1G01-4282	G1G01-3993	-
TU1G01-7300	G1G01-575	+
TU1G01-2576	G1G01-2417	+
TU1G01-4968	G1G01-4696 // G1G01-4695	-
TU1G01-5630	G1G01-5317 // G1G01-5316	-
TU1G01-6294	G1G01-5093	+
TU1G01-2922	G1G01-2722	+
TU1G01-1092	G1G01-1036 // G1G01-1035 // G1G01-1034 // G1G01-1033 // G1G01-1032	+
TU1G01-188	G1G01-160	-
TU1G01-3598	G1G01-3378	+
TU1G01-4254	G1G01-3962	-
TU1G01-7272	G1G01-772	+
TU1G01-2546	G1G01-2389	+
TU1G01-494	G1G01-453 // G1G01-452	+
TU1G01-5600	G1G01-5287 // G1G01-5286 // G1G01-5285 // G1G01-5284	-
TU1G01-6264	G1G01-5280	+
TU1G01-2894	G1G01-2702	-
TU1G01-1062	G1G01-999	+
TU1G01-1850	G1G01-1759 // G1G01-1758 // G1G01-1757	+
TU1G01-3562	G1G01-3342	+
TU1G01-4224	G1G01-3934	-
TU1G01-7242	G1G01-947	+
TU1G01-2518	G1G01-2362	+
TU1G01-490	G1G01-449 // G1G01-448	+
TU1G01-5574	G1G01-5263	-
TU1G01-6236	G1G01-5396	+
TU1G01-2864	G1G01-2679	+
TU1G01-1034	G1G01-971 // G1G01-970	+
TU1G01-1820	G1G01-1726	+
TU1G01-3534	G1G01-3321	+
TU1G01-4198	G1G01-3916 // G1G01-3915 // G1G01-3914 // G1G01-3913	+
TU1G01-7214	G1G01-1115	+
TU1G01-2488	G1G01-2334	+
TU1G01-4868	G1G01-4603 // G1G01-4602 // G1G01-4601 // G1G01-4600 // G1G01-4599 // G1G01-4598 // G1G01-4597 // G1G01-4596	-
TU1G01-5544	G1G01-5230	-
TU1G01-6206	G1G01-5501	-
TU1G01-2836	G1G01-2661	-
TU1G01-1004	G1G01-942	+
TU1G01-1794	G1G01-1708 // G1G01-1707 // G1G01-1706	+
TU1G01-3504	G1G01-3284	-
TU1G01-4168	G1G01-3893	+
TU1G01-7186	G1G01-1202	-
TU1G01-246	G1G01-208	+
TU1G01-4836	G1G01-4569	+
TU1G01-5514	G1G01-5201	+
TU1G01-618	G1G01-596	+
TU1G01-2806	G1G01-2634	-
TU1G01-1764	G1G01-1679 // G1G01-1678 // G1G01-1677 // G1G01-1676	+
TU1G01-3476	G1G01-3262	-
TU1G01-414	G1G01-373	+
TU1G01-7158	G1G01-1363	+
TU1G01-2428	G1G01-2285	+
TU1G01-4806	G1G01-4541	-
TU1G01-4800	G1G01-4537	+
TU1G01-548	G1G01-521 // G1G01-520 // G1G01-519 // G1G01-518 // G1G01-517 // G1G01-516 // G1G01-515 // G1G01-514	+
TU1G01-6144	G1G01-5642	-
TU1G01-2774	G1G01-2604 // G1G01-2603	+
TU1G01-1730	G1G01-1634	-
TU1G01-3440	G1G01-3210 // G1G01-3209 // G1G01-3208 // G1G01-3207	+
TU1G01-4104	G1G01-3835	+
TU1G01-7122	G1G01-1518	-
TU1G01-2396	G1G01-2259	+
TU1G01-4774	G1G01-4508 // G1G01-4507 // G1G01-4506 // G1G01-4505	+
TU1G01-5450	G1G01-5135	+
TU1G01-6116	G1G01-5722	+
TU1G01-1700	G1G01-1602 // G1G01-1601 // G1G01-1600 // G1G01-1599	+
TU1G01-3410	G1G01-3186 // G1G01-3185 // G1G01-3184 // G1G01-3183 // G1G01-3182 // G1G01-3181	+
TU1G01-4076	G1G01-3812	-
TU1G01-7094	G1G01-1735	-
TU1G01-2366	G1G01-2238	-
TU1G01-4744	G1G01-4475	-
TU1G01-5420	G1G01-5112	-
TU1G01-6086	G1G01-5767	+
TU1G01-1672	G1G01-1577	-
TU1G01-3382	G1G01-3165 // G1G01-3164 // G1G01-3163 // G1G01-3162	+
TU1G01-7064	G1G01-1912	-
TU1G01-2338	G1G01-2211 // G1G01-2210	-
TU1G01-4052	G1G01-3796 // G1G01-3795	+
TU1G01-4716	G1G01-4441 // G1G01-4440	+
TU1G01-996	G1G01-935	-
TU1G01-5394	G1G01-5096 // G1G01-5095	-
TU1G01-6058	G1G01-5717 // G1G01-5716 // G1G01-5715	-
TU1G01-1642	G1G01-1552 // G1G01-1551	-
TU1G01-3354	G1G01-3134	+
TU1G01-7036	G1G01-1946	-
TU1G01-2308	G1G01-2193	+
TU1G01-4022	G1G01-3774	+
TU1G01-4686	G1G01-4403 // G1G01-4402 // G1G01-4401	-
TU1G01-966	G1G01-904	-
TU1G01-5370	G1G01-5073	-
TU1G01-6028	G1G01-5688	+
TU1G01-1614	G1G01-1530 // G1G01-1529	-
TU1G01-6692	G1G01-3594	-
TU1G01-3324	G1G01-3111	-
TU1G01-7006	G1G01-2038	+
TU1G01-228	G1G01-186	+
TU1G01-3998	G1G01-3755	+
TU1G01-4658	G1G01-4373	-
TU1G01-938	G1G01-877	-
TU1G01-5338	G1G01-5044 // G1G01-5043 // G1G01-5042	-
TU1G01-600	G1G01-584 // G1G01-583	-
TU1G01-1586	G1G01-1506	-
TU1G01-6662	G1G01-3762	+
TU1G01-3296	G1G01-3088	+
TU1G01-698	G1G01-677	-
TU1G01-2250	G1G01-2128 // G1G01-2127 // G1G01-2126	+
TU1G01-3968	G1G01-3731	+
TU1G01-4628	G1G01-4349	+
TU1G01-908	G1G01-852	+
TU1G01-5308	G1G01-5016 // G1G01-5015 // G1G01-5014	+
TU1G01-5974	G1G01-5648	-
TU1G01-1558	G1G01-1487 // G1G01-1486	+
TU1G01-6634	G1G01-3850	+
TU1G01-3266	G1G01-3064 // G1G01-3063	-
TU1G01-1440	G1G01-1357	+
TU1G01-6950	G1G01-2329	+
TU1G01-2220	G1G01-2108 // G1G01-2107 // G1G01-2106 // G1G01-2105 // G1G01-2104 // G1G01-2103 // G1G01-2102	+
TU1G01-394	G1G01-353	+
TU1G01-460	G1G01-418 // G1G01-417	-
TU1G01-88	G1G01-66	+
TU1G01-528	G1G01-485 // G1G01-484	+
TU1G01-5944	G1G01-5623	-
TU1G01-1528	G1G01-1454	+
TU1G01-6604	G1G01-3936	+
TU1G01-3238	G1G01-3042 // G1G01-3041	+
TU1G01-1412	G1G01-1327	+
TU1G01-6920	G1G01-2484	+
TU1G01-2194	G1G01-2081	+
TU1G01-3910	G1G01-3669 // G1G01-3668	+
TU1G01-4570	G1G01-4292 // G1G01-4291	+
TU1G01-850	G1G01-794 // G1G01-793	-
TU1G01-5250	G1G01-4964 // G1G01-4963 // G1G01-4962	-
TU1G01-5916	G1G01-5601	+
TU1G01-150	G1G01-128	+
TU1G01-6578	G1G01-4015	+
TU1G01-3208	G1G01-3014	+
TU1G01-1384	G1G01-1299	+
TU1G01-6892	G1G01-2578	+
TU1G01-2164	G1G01-2060	+
TU1G01-3880	G1G01-3647	-
TU1G01-4538	G1G01-4265	+
TU1G01-820	G1G01-769 // G1G01-768	+
TU1G01-5220	G1G01-4932 // G1G01-4931 // G1G01-4930	-
TU1G01-5884	G1G01-5564	-
TU1G01-1470	G1G01-1393 // G1G01-1392	-
TU1G01-6548	G1G01-4108	-
TU1G01-3180	G1G01-2983 // G1G01-2982	-
TU1G01-1356	G1G01-1275	+
TU1G01-6862	G1G01-2700	+
TU1G01-2136	G1G01-2032	+
TU1G01-3852	G1G01-3622	-
TU1G01-4508	G1G01-4234	+
TU1G01-794	G1G01-751	-
TU1G01-5194	G1G01-4900	-
TU1G01-5856	G1G01-5538	-
TU1G01-652	G1G01-633	+
TU1G01-3152	G1G01-2953	-
TU1G01-1326	G1G01-1256	-
TU1G01-6834	G1G01-2757	-
TU1G01-2106	G1G01-2000 // G1G01-1999	-
TU1G01-3822	G1G01-3589 // G1G01-3588 // G1G01-3587	-
TU1G01-448	G1G01-408	+
TU1G01-764	G1G01-731	+
TU1G01-5164	G1G01-4869	-
TU1G01-5826	G1G01-5512	-
TU1G01-6490	G1G01-4399	-
TU1G01-3122	G1G01-2922	-
TU1G01-1298	G1G01-1235	-
TU1G01-6804	G1G01-2995	+
TU1G01-2078	G1G01-1969	+
TU1G01-3796	G1G01-3566	+
TU1G01-4450	G1G01-4192 // G1G01-4191	+
TU1G01-7452	G1G01-4044	+
TU1G01-2742	G1G01-2575	-
TU1G01-5136	G1G01-4844	-
TU1G01-58	G1G01-45 // G1G01-44	-
TU1G01-6460	G1G01-4517	+
TU1G01-3094	G1G01-2895 // G1G01-2894 // G1G01-2893 // G1G01-2892 // G1G01-2891 // G1G01-2890 // G1G01-2889	+
TU1G01-1266	G1G01-1213	-
TU1G01-6778	G1G01-3129	+
TU1G01-2048	G1G01-1948	-
TU1G01-3766	G1G01-3540 // G1G01-3539 // G1G01-3538	+
TU1G01-4420	G1G01-4158	+
TU1G01-7437	G1G01-1083 // G1G01-1084	+
TU1G01-2714	G1G01-2548 // G1G01-2547 // G1G01-2546	-
TU1G01-5106	G1G01-4819	-
TU1G01-5770	G1G01-5452	-
TU1G01-6432	G1G01-4683	-
TU1G01-3062	G1G01-2860	+
TU1G01-1238	G1G01-1186 // G1G01-1185 // G1G01-1184 // G1G01-1183	+
TU1G01-6748	G1G01-3260	-
TU1G01-202	G1G01-170	+
TU1G01-3738	G1G01-3514	+
TU1G01-4394	G1G01-4113	-
TU1G01-7410	G1G01-106	-
TU1G01-2684	G1G01-2515	-
TU1G01-5078	G1G01-4793 // G1G01-4792	+
TU1G01-5740	G1G01-5414	-
TU1G01-6402	G1G01-4812	+
TU1G01-3032	G1G01-2832	+
TU1G01-1208	G1G01-1159 // G1G01-1158	-
TU1G01-672	G1G01-648 // G1G01-647	+
TU1G01-1990	G1G01-1888 // G1G01-1887 // G1G01-1886 // G1G01-1885	-
TU1G01-3708	G1G01-3468 // G1G01-3467	-
TU1G01-4364	G1G01-4090	+
TU1G01-7382	G1G01-273	-
TU1G01-2656	G1G01-2487	+
TU1G01-5048	G1G01-4753 // G1G01-4752 // G1G01-4751	-
TU1G01-5712	G1G01-5390	-
TU1G01-6376	G1G01-4870	+
TU1G01-3002	G1G01-2797	-
TU1G01-1176	G1G01-1130 // G1G01-1129	-
TU1G01-1960	G1G01-1858 // G1G01-1857	+
TU1G01-368	G1G01-329	+
TU1G01-4336	G1G01-4066 // G1G01-4065	-
TU1G01-7354	G1G01-332	+
TU1G01-2626	G1G01-2464	+
TU1G01-502	G1G01-463 // G1G01-462	-
TU1G01-5682	G1G01-5364 // G1G01-5363 // G1G01-5362 // G1G01-5361	+
TU1G01-6346	G1G01-4929	+
TU1G01-2976	G1G01-2769	+
TU1G01-1146	G1G01-1088	+
TU1G01-1932	G1G01-1837 // G1G01-1836	+
TU1G01-3650	G1G01-3415 // G1G01-3414	-
TU1G01-4306	G1G01-4022	+
TU1G01-7324	G1G01-445	-
TU1G01-26	G1G01-22	+
TU1G01-4992	G1G01-4712 // G1G01-4711	+
TU1G01-5654	G1G01-5337	-
TU1G01-6318	G1G01-5009	+
TU1G01-2946	G1G01-2743 // G1G01-2742	-
TU1G01-1116	G1G01-1060 // G1G01-1059	-
TU1G01-1902	G1G01-1810 // G1G01-1809 // G1G01-1808	-
TU1G01-362	G1G01-327 // G1G01-326 // G1G01-325	-
TU1G01-4278	G1G01-3991	-
TU1G01-7296	G1G01-585	+
TU1G01-2570	G1G01-2411 // G1G01-2410 // G1G01-2409 // G1G01-2408 // G1G01-2407 // G1G01-2406	+
TU1G01-4962	G1G01-4692	+
TU1G01-5624	G1G01-5311 // G1G01-5310	+
TU1G01-6288	G1G01-5189	+
TU1G01-2918	G1G01-2720	+
TU1G01-1086	G1G01-1025 // G1G01-1024 // G1G01-1023 // G1G01-1022	-
TU1G01-1874	G1G01-1787	-
TU1G01-3592	G1G01-3375	-
TU1G01-4248	G1G01-3959 // G1G01-3958	-
TU1G01-7266	G1G01-830	+
TU1G01-2540	G1G01-2385	+
TU1G01-4932	G1G01-4671	-
TU1G01-5598	G1G01-5283	-
TU1G01-626	G1G01-610	-
TU1G01-2888	G1G01-2696 // G1G01-2695 // G1G01-2694	+
TU1G01-1058	G1G01-995 // G1G01-994	-
TU1G01-1844	G1G01-1753 // G1G01-1752	+
TU1G01-3558	G1G01-3340	+
TU1G01-422	G1G01-384	-
TU1G01-7238	G1G01-972	-
TU1G01-2512	G1G01-2358 // G1G01-2357 // G1G01-2356 // G1G01-2355 // G1G01-2354	+
TU1G01-4894	G1G01-4638 // G1G01-4637 // G1G01-4636 // G1G01-4635 // G1G01-4634 // G1G01-4633 // G1G01-4632 // G1G01-4631	-
TU1G01-5568	G1G01-5258 // G1G01-5257 // G1G01-5256 // G1G01-5255 // G1G01-5254	-
TU1G01-6230	G1G01-5428	+
TU1G01-286	G1G01-249 // G1G01-248 // G1G01-247	-
TU1G01-1028	G1G01-965 // G1G01-964	+
TU1G01-1816	G1G01-1724	-
TU1G01-3528	G1G01-3318 // G1G01-3317 // G1G01-3316 // G1G01-3315 // G1G01-3314 // G1G01-3313 // G1G01-3312	+
TU1G01-4192	G1G01-3906	-
TU1G01-7208	G1G01-1135	+
TU1G01-2482	G1G01-2324	+
TU1G01-4862	G1G01-4590	-
TU1G01-554	G1G01-528	+
TU1G01-6200	G1G01-5506	-
TU1G01-2830	G1G01-2658	-
TU1G01-100	G1G01-76 // G1G01-75	+
TU1G01-1788	G1G01-1703	+
TU1G01-350	G1G01-310 // G1G01-309	-
TU1G01-4162	G1G01-3890	-
TU1G01-7180	G1G01-1210	-
TU1G01-2454	G1G01-2303	-
TU1G01-4830	G1G01-4566 // G1G01-4565 // G1G01-4564	+
TU1G01-5508	G1G01-5196	+
TU1G01-6174	G1G01-5570	+
TU1G01-2800	G1G01-2629 // G1G01-2628 // G1G01-2627 // G1G01-2626 // G1G01-2625 // G1G01-2624	+
TU1G01-176	G1G01-150	-
TU1G01-3470	G1G01-3253 // G1G01-3252	+
TU1G01-4134	G1G01-3865 // G1G01-3864	-
TU1G01-7152	G1G01-1396	-
TU1G01-2422	G1G01-2281 // G1G01-2280	+
TU1G01-4128	G1G01-3861 // G1G01-3860 // G1G01-3859	+
TU1G01-7146	G1G01-1455	-
TU1G01-2418	G1G01-2278 // G1G01-2277	+
TU1G01-4798	G1G01-4536 // G1G01-4535	+
TU1G01-5474	G1G01-5162	+
TU1G01-614	G1G01-594	-
TU1G01-2768	G1G01-2600	-
TU1G01-1724	G1G01-1630 // G1G01-1629 // G1G01-1628 // G1G01-1627 // G1G01-1626	-
TU1G01-3436	G1G01-3205	-
TU1G01-410	G1G01-370	-
TU1G01-7118	G1G01-1559	-
TU1G01-2390	G1G01-2254	+
TU1G01-4768	G1G01-4496 // G1G01-4495	+
TU1G01-5444	G1G01-5131	+
TU1G01-6110	G1G01-5732	+
TU1G01-1696	G1G01-1597	+
TU1G01-3404	G1G01-3178	+
TU1G01-4070	G1G01-3808	-
TU1G01-7088	G1G01-1785	-
TU1G01-2360	G1G01-2235 // G1G01-2234	-
TU1G01-474	G1G01-430 // G1G01-429	+
TU1G01-5416	G1G01-5110 // G1G01-5109	+
TU1G01-6080	G1G01-5762	-
TU1G01-1666	G1G01-1570	+
TU1G01-3378	G1G01-3160 // G1G01-3159	-
TU1G01-706	G1G01-687 // G1G01-686 // G1G01-685 // G1G01-684 // G1G01-683	+
TU1G01-2332	G1G01-2207	-
TU1G01-4046	G1G01-3791	+
TU1G01-4710	G1G01-4433 // G1G01-4432 // G1G01-4431	-
TU1G01-990	G1G01-931 // G1G01-930 // G1G01-929 // G1G01-928 // G1G01-927 // G1G01-926 // G1G01-925 // G1G01-924	+
TU1G01-6052	G1G01-5708	+
TU1G01-1638	G1G01-1549	+
TU1G01-3348	G1G01-3131	-
TU1G01-7030	G1G01-1957	-
TU1G01-2302	G1G01-2188 // G1G01-2187 // G1G01-2186 // G1G01-2185 // G1G01-2184	+
TU1G01-4018	G1G01-3772	-
TU1G01-4680	G1G01-4387 // G1G01-4386	+
TU1G01-960	G1G01-895 // G1G01-894	+
TU1G01-5364	G1G01-5069	+
TU1G01-6022	G1G01-5685	-
TU1G01-1608	G1G01-1526 // G1G01-1525	+
TU1G01-6686	G1G01-3597	+
TU1G01-332	G1G01-297	+
TU1G01-7000	G1G01-2092	-
TU1G01-2274	G1G01-2155 // G1G01-2154 // G1G01-2153 // G1G01-2152	+
TU1G01-3992	G1G01-3751 // G1G01-3750	+
TU1G01-4652	G1G01-4369 // G1G01-4368	-
TU1G01-932	G1G01-874	-
TU1G01-5332	G1G01-5036 // G1G01-5035	-
TU1G01-5998	G1G01-5669	-
TU1G01-1580	G1G01-1499	-
TU1G01-6658	G1G01-3768	-
TU1G01-3290	G1G01-3085	-
TU1G01-6974	G1G01-2258	-
TU1G01-2244	G1G01-2123	+
TU1G01-3962	G1G01-3721 // G1G01-3720	-
TU1G01-4622	G1G01-4346 // G1G01-4345	+
TU1G01-902	G1G01-848 // G1G01-847 // G1G01-846	+
TU1G01-5302	G1G01-5011 // G1G01-5010	-
TU1G01-5968	G1G01-5644 // G1G01-5643	+
TU1G01-1552	G1G01-1473	-
TU1G01-6628	G1G01-3869	+
TU1G01-3260	G1G01-3058 // G1G01-3057	+
TU1G01-1436	G1G01-1353 // G1G01-1352 // G1G01-1351 // G1G01-1350	+
TU1G01-6944	G1G01-2332	-
TU1G01-2216	G1G01-2098	-
TU1G01-3934	G1G01-3690 // G1G01-3689	+
TU1G01-4596	G1G01-4310	-
TU1G01-874	G1G01-823 // G1G01-822	+
TU1G01-5274	G1G01-4982	-
TU1G01-594	G1G01-579	-
TU1G01-1522	G1G01-1449 // G1G01-1448	+
TU1G01-660	G1G01-638	+
TU1G01-3232	G1G01-3037 // G1G01-3036	-
