Transcription-Units	Direction	Genes of transcription unit
TU8J2-343	-	BSU37590
TU8J2-17435	-	BSU34960
TU8J2-16233	-	BSU10340
TU8J2-901	-	BSU11740 // BSU11750
TU8J2-16419	+	BSU17080
TU8J2-17023	+	BSU38640
TU8J2-508	+	BSU30930
TU8J2-17326	-	BSU40460
TU8J2-16716	-	BSU25280
TU8J2-1077	-	G8J2-18 // BSU04530
TU8J2-880	-	BSU13150
TU8J2-1060	+	BSU05790
TU8J2-1252	+	BSU11809
TU8J2-17276	-	BSU31510
TU8J2-542	-	BSU29750
TU8J2-721	-	BSU22960
TU8J2-1172	+	BSU01890
TU8J2-491	-	BSU31430
TU8J2-16963	-	BSU34930 // BSU34920 // BSU34910 // BSU34900 // BSU34890 // BSU34880 // BSU34870 // BSU34860
TU8J2-16484	-	BSU18790
TU8J2-16342	+	BSU14190 // BSU14180
TU8J2-83	+	BSU14480
TU8J2-284	+	BSU38950
TU8J2-17057	+	BSU40760
TU8J2-795	-	BSU17960
TU8J2-960	+	BSU09090 // BSU09080 // BSU09070 // BSU09060 // BSU09050 // BSU09040 // BSU09030 // BSU09020 // BSU09010 // BSU09000 // BSU08990
TU8J2-16048	-	BSU03380 // BSU03370
TU8J2-1005	+	BSU07970
TU8J2-16859	+	BSU30720 // BSU30710
TU8J2-680	-	BSU24230
TU8J2-605	+	BSU28330
TU8J2-17219	+	BSU22169
TU8J2-983	+	BSU08425
TU8J2-365	-	BSU37040 // BSU37050
TU8J2-136	-	BSU28490
TU8J2-16268	+	BSU11620
TU8J2-3031	+	BSU18190 // BSU18180 // BSU18170
TU8J2-1099	+	BSU03930 // BSU03920
TU8J2-16746	-	BSU26370
TU8J2-16240	-	BSU10740
TU8J2-16093	+	BSU05250
TU8J2-16302	+	BSU13100 // BSU13090
TU8J2-637	-	BSU27160 // BSU27170
TU8J2-179	-	BSU33540
TU8J2-16539	-	BSU20040 // BSU20030
TU8J2-16648	-	BSU22350 // BSU22340 // BSU22330
TU8J2-82	-	BSU23310
TU8J2-1271	-	BSU34690 // BSU34700 // BSU34710 // BSU34720
TU8J2-974	+	BSU08590 // BSU08580 // BSU08570
TU8J2-17241	+	BSU25740
TU8J2-706	-	BSU23530
TU8J2-16781	-	BSU26840
TU8J2-16548	-	BSU20130
TU8J2-1420	-	BSU14820
TU8J2-1104	-	BSU03840 // BSU03850
TU8J2-298	-	BSU38720
TU8J2-16386	+	BSU15690 // BSU15680 // BSU15670
TU8J2-16777	+	BSU26820
TU8J2-730	+	BSU22320 // BSU22310
TU8J2-16058	+	BSU04260
TU8J2-16479	-	BSU18669
TU8J2-16815	-	BSU27820
TU8J2-890	+	BSU12440 // BSU12430
TU8J2-1067	-	BSU05450
TU8J2-304	-	BSU38560 // BSU38570 // BSU38580 // BSU38590
TU8J2-16786	-	BSU26920
TU8J2-16382	+	BSU15440
TU8J2-16864	+	BSU31080
TU8J2-75	+	BSU09150
TU8J2-17275	-	BSU31470
TU8J2-773	+	BSU18920 // BSU18910
TU8J2-1035	+	BSU07310 // BSU07300 // BSU07290 // BSU07280 // BSU07270
TU8J2-18	-	BSU22790
TU8J2-16768	-	BSU26730
TU8J2-17298	+	BSU33530
TU8J2-16052	+	BSU03652 // BSU03651 // BSU03640 // BSU03630
TU8J2-16651	-	BSU22430 // BSU22420 // BSU22410
TU8J2-447	-	BSU33700 // BSU33710 // BSU33720 // BSU33730
TU8J2-751	+	BSU21790
TU8J2-853	+	BSU14370 // BSU14360 // BSU14350 // BSU14340
TU8J2-468	+	BSU32460 // BSU32450 // BSU32440 // BSU32430 // BSU32420
TU8J2-16616	-	BSU21490
TU8J2-603	-	BSU28350
TU8J2-985	-	BSU08400
TU8J2-16780	-	G8J2-171
TU8J2-1057	+	BSU06070 // BSU06060
TU8J2-1040	-	BSU06660
TU8J2-16641	-	BSU22160
TU8J2-658	-	BSU25350 // BSU25360
TU8J2-1308	-	BSU07150
TU8J2-16901	+	BSU32469
TU8J2-16910	-	BSU32750 // BSU32740 // BSU32730
TU8J2-16021	+	BSU02150
TU8J2-234	+	BSU40190
TU8J2-875	+	BSU13460 // BSU13450
TU8J2-17189	+	BSU18899
TU8J2-16256	+	BSU11170
TU8J2-16196	+	BSU09259
TU8J2-17208	+	BSU20190
TU8J2-16835	+	BSU29050 // BSU29040
TU8J2-199	-	BSU41060
TU8J2-544	+	BSU29710 // BSU29700 // BSU29690
TU8J2-107	+	BSU22260
TU8J2-17076	-	G8J2-20
TU8J2-1285	-	BSU_MISC_RNA_55
TU8J2-103	-	BSU25880 // BSU25890
TU8J2-16352	+	BSU14510
TU8J2-1137	-	BSU03010
TU8J2-132	+	BSU32540
TU8J2-810	+	BSU17420
TU8J2-1269	+	BSU33250 // BSU33240
TU8J2-16736	-	BSU26220
TU8J2-1187	+	BSU00820 // BSU00810 // BSU00800 // BSU00790 // BSU00780 // BSU00770 // BSU00760 // BSU00750 // BSU00740
TU8J2-862	+	BSU13950
TU8J2-2966	-	BSU31180 // BSU31190 // BSU31200 // BSU31210 // BSU31220
TU8J2-16290	-	BSU12400
TU8J2-16887	-	BSU32020
TU8J2-1116	-	BSU03450 // BSU03460
TU8J2-16668	-	BSU22970
TU8J2-16841	-	BSU29590 // BSU29580
TU8J2-17069	-	BSU03110
TU8J2-759	-	BSU19800
TU8J2-15909	+	BSU17550 // BSU17540
TU8J2-3024	+	BSU33070 // BSU33060 // BSU33050
TU8J2-16714	-	BSU25190
TU8J2-399	-	BSU36230
TU8J2-649	-	BSU25750
TU8J2-16897	-	BSU32190
TU8J2-17197	+	BSU19350
TU8J2-480	-	BSU31720
TU8J2-16007	+	BSU_RRNA_27
TU8J2-1029	+	BSU07380
TU8J2-16555	-	BSU20310 // BSU20300 // BSU20290 // BSU20280 // BSU20270 // BSU20260
TU8J2-139	-	BSU23700 // BSU23710
TU8J2-17137	-	BSU_11525
TU8J2-17101	-	BSU06740
TU8J2-17202	+	BSU19639
TU8J2-16615	+	BSU21430 // BSU21420
TU8J2-336	-	BSU37760 // BSU37770 // BSU37780
TU8J2-15989	+	BSU01380 // BSU01370
TU8J2-16245	-	BSU10860
TU8J2-16286	+	BSU12180
TU8J2-306	+	BSU38499 // BSU38540 // BSU38530 // BSU38520 // BSU38510 // BSU38500
TU8J2-948	+	BSU09420
TU8J2-16335	-	BSU14000
TU8J2-16183	+	BSU08690
TU8J2-374	-	BSU36750
TU8J2-394	+	BSU36380
TU8J2-16015	+	BSU01870
TU8J2-15982	+	BSU01090
TU8J2-526	-	BSU30350
TU8J2-899	+	BSU11880 // BSU11870
TU8J2-1163	+	BSU02120
TU8J2-17130	-	BSU10820
TU8J2-1577	-	BSU33490
TU8J2-16862	+	BSU30990
TU8J2-16769	-	BSU26740
TU8J2-16531	-	BSU19910 // BSU19900 // BSU19890 // BSU19880 // BSU19870
TU8J2-1107	+	BSU03780 // BSU03770
TU8J2-692	-	BSU23840
TU8J2-16339	+	BSU14080
TU8J2-16230	+	BSU10260
TU8J2-134	-	BSU07840
TU8J2-17148	+	BSU12230
TU8J2-16784	+	BSU26900
TU8J2-16656	-	BSU22710 // BSU22700 // BSU22690
TU8J2-980	+	BSU08470
TU8J2-16369	+	BSU14840
TU8J2-998	+	BSU08090 // BSU08080 // BSU08070 // BSU08060
TU8J2-16655	-	BSU22590
TU8J2-1160	+	BSU02310
TU8J2-16620	-	BSU21560
TU8J2-16300	+	BSU13080 // BSU13070
TU8J2-1112	-	BSU03540 // BSU03550
TU8J2-1282	-	BSU_MISC_RNA_55 // BSU33600 // BSU33610 // BSU33620
TU8J2-1119	+	BSU03410
TU8J2-1071	+	BSU04660
TU8J2-16540	-	BSU_MISC_RNA_76
TU8J2-556	-	BSU29500 // BSU29510
TU8J2-461	-	BSU35240
TU8J2-631	-	BSU27590 // BSU27600
TU8J2-16153	-	BSU06800
TU8J2-913	+	BSU10900
TU8J2-16976	+	BSU35850
TU8J2-15866	-	BSU33510
TU8J2-16169	+	BSU07210 // BSU07200
TU8J2-16881	-	BSU31790
TU8J2-17424	+	BSU40139
TU8J2-16882	-	BSU31800
TU8J2-886	-	BSU12900
TU8J2-16847	-	BSU30050
TU8J2-17303	+	BSU33890
TU8J2-872	+	BSU13650
TU8J2-16547	-	BSU20120
TU8J2-541	-	BSU29760 // BSU29770 // BSU29780
TU8J2-16810	-	BSU27640
TU8J2-16559	-	BSU20410 // BSU20400
TU8J2-939	-	BSU09770 // BSU09780
TU8J2-15903	-	BSU24280 // BSU24290 // BSU24300
TU8J2-407	-	BSU36040
TU8J2-16026	-	BSU02200
TU8J2-17121	-	BSU09950
TU8J2-15875	+	BSU02840 // BSU02830
TU8J2-16072	+	BSU04790
TU8J2-532	-	BSU30080
TU8J2-16041	+	BSU02950
TU8J2-454	-	BSU33200
TU8J2-16600	+	BSU21070 // BSU21060
TU8J2-1056	+	BSU06110 // BSU06100 // BSU06090
TU8J2-16437	+	BSU17510
TU8J2-16473	+	BSU18570
TU8J2-16137	-	BSU06319
TU8J2-17132	-	BSU10890
TU8J2-420	-	BSU35720 // BSU35730 // BSU35740
TU8J2-564	-	BSU29270
TU8J2-1050	+	BSU06230
TU8J2-101	+	BSU24940 // BSU24930
TU8J2-16418	-	BSU17070
TU8J2-17022	-	BSU_38495
TU8J2-16741	-	BSU26290 // BSU26280
TU8J2-16185	-	BSU08710
TU8J2-16846	-	BSU30035
TU8J2-16625	+	BSU21630
TU8J2-16676	-	BSU23328
TU8J2-346	+	BSU37510
TU8J2-16742	-	BSU26300
TU8J2-16444	+	BSU_17679
TU8J2-17111	+	BSU09110
TU8J2-17430	-	BSU27700
TU8J2-16405	+	BSU16700
TU8J2-17294	+	BSU33030
TU8J2-16629	-	BSU21650
TU8J2-2968	-	BSU32240 // BSU32250 // BSU32260
TU8J2-16253	-	BSU11140
TU8J2-568	-	BSU29200
TU8J2-16729	-	BSU26030 // BSU26020 // BSU26010 // BSU26000 // BSU25990 // BSU25980 // BSU25970 // BSU25960 // BSU25950 // BSU25940 // BSU25930
TU8J2-130	-	BSU28630 // BSU28640
TU8J2-846	-	BSU14700
TU8J2-16544	-	BSU20080 // BSU20070
TU8J2-3029	-	BSU22370 // BSU22380 // BSU22390
TU8J2-860	+	BSU14010
TU8J2-1262	-	BSU19230
TU8J2-16761	-	BSU26559
TU8J2-16327	+	BSU13750 // BSU13740 // BSU13730 // BSU13720
TU8J2-656	-	BSU25430 // BSU25440 // BSU25450 // BSU25460 // BSU25470 // BSU25480 // BSU25490 // BSU25500 // BSU25510
TU8J2-953	+	BSU09300
TU8J2-17136	-	BSU11320
TU8J2-1034	-	BSU07320
TU8J2-76	+	BSU37510
TU8J2-16470	-	BSU18540
TU8J2-971	-	BSU08620
TU8J2-1062	+	BSU05710
TU8J2-74	+	BSU18030 // BSU18020
TU8J2-575	-	BSU29010 // BSU29020
TU8J2-851	+	BSU14410
TU8J2-16478	+	BSU18660
TU8J2-16182	+	BSU08680
TU8J2-16445	+	BSU17680
TU8J2-17074	-	BSU04180
TU8J2-16207	+	BSU09650
TU8J2-601	-	BSU28410
TU8J2-16511	+	BSU19310
TU8J2-732	-	BSU22200
TU8J2-79	-	BSU17970
TU8J2-470	-	BSU32350
TU8J2-17215	+	G8J2-167
TU8J2-16135	+	BSU06260
TU8J2-16356	-	BSU_14568
TU8J2-295	+	BSU38780
TU8J2-217	-	BSU40560
TU8J2-124	+	BSU26050
TU8J2-16592	-	BSU20990
TU8J2-16029	+	BSU02260
TU8J2-40	-	BSU28500
TU8J2-16744	-	BSU26340 // BSU26330
TU8J2-16332	+	BSU13880
TU8J2-1205	+	BSU00240
TU8J2-17108	-	BSU08800
TU8J2-1232	-	BSU37690 // BSU37700 // BSU37710 // BSU37720 // BSU37730 // BSU37740
TU8J2-714	+	BSU23230
TU8J2-997	+	BSU08110 // BSU08100
TU8J2-16254	+	BSU11150
TU8J2-16767	-	BSU26660
TU8J2-16601	+	BSU21140 // BSU21130 // BSU21120 // BSU21110 // BSU21100
TU8J2-691	+	BSU23850
TU8J2-16265	+	BSU11540
TU8J2-17234	+	BSU25120
TU8J2-16762	-	BSU26580
TU8J2-17110	-	BSU08900
TU8J2-1105	+	BSU03830 // BSU03820 // BSU03810 // BSU03800
TU8J2-16826	-	BSU_28509
TU8J2-15890	+	BSU00880 // BSU00870
TU8J2-16291	-	BSU12410
TU8J2-17193	+	BSU19130
TU8J2-828	+	BSU15980 // BSU15970
TU8J2-1028	+	BSU07400 // BSU07390
TU8J2-16895	-	BSU32170
TU8J2-320	+	BSU38180
TU8J2-16199	+	BSU09470
TU8J2-17127	-	BSU10780
TU8J2-1012	+	BSU07820 // BSU07810 // BSU07800
TU8J2-651	+	BSU25690
TU8J2-17053	-	BSU40578
TU8J2-645	+	BSU25840 // BSU25830
TU8J2-16365	+	BSU14770
TU8J2-3018	+	BSU36530
TU8J2-311	-	BSU38430
TU8J2-16790	-	BSU27080
TU8J2-212	+	BSU40690 // BSU40680 // BSU40670
TU8J2-47	+	BSU08600
TU8J2-265	-	BSU39460 // BSU39470 // BSU39480 // BSU39490 // BSU39500 // BSU39510 // BSU39520
TU8J2-503	-	BSU31230
TU8J2-16530	-	BSU19860
TU8J2-16852	-	BSU30330
TU8J2-1243	-	BSU23050
TU8J2-1167	+	BSU02080 // BSU02070
TU8J2-16686	-	BSU23930 // BSU23920 // BSU23910
TU8J2-633	-	BSU27300 // BSU27310
TU8J2-574	-	BSU29060
TU8J2-685	-	BSU24100
TU8J2-15931	-	BSU37790
TU8J2-596	-	BSU28510
TU8J2-285	+	BSU38940 // BSU38930
TU8J2-873	+	BSU13640
TU8J2-15976	+	BSU_RRNA_10
TU8J2-322	+	BSU38130
TU8J2-258	-	BSU39650 // BSU39660
TU8J2-16734	-	BSU26200 // BSU26190 // BSU26180 // BSU26170
TU8J2-131	+	BSU17400 // BSU17390 // BSU17380 // BSU17370
TU8J2-1046	-	BSU06300
TU8J2-617	-	BSU28040
TU8J2-55	-	BSU29760 // BSU29770 // BSU29780
TU8J2-16712	+	BSU25160
TU8J2-250	+	BSU39860
TU8J2-15972	+	BSU00680 // BSU00670
TU8J2-696	+	BSU23800
TU8J2-16752	+	BSU26450
TU8J2-17050	-	BSU40573
TU8J2-3015	+	BSU31070
TU8J2-17005	-	BSU37450
TU8J2-1134	+	BSU03040
TU8J2-2972	-	BSU19460 // BSU19470 // BSU19479 // BSU19480
TU8J2-16014	+	BSU01860
TU8J2-754	-	BSU21710
TU8J2-245	-	BSU39970 // BSU39980
TU8J2-769	+	BSU19180
TU8J2-16502	-	BSU19080 // BSU19070
TU8J2-16554	-	BSU20250 // BSU20240 // BSU20230
TU8J2-16533	-	BSU19940 // BSU19930
TU8J2-17263	+	BSU29870
TU8J2-17318	+	BSU36350
TU8J2-164	+	BSU33640
TU8J2-1054	-	BSU06140
TU8J2-16399	+	BSU16570
TU8J2-17320	+	BSU36610
TU8J2-856	+	BSU14170 // BSU14160 // BSU14150
TU8J2-968	+	BSU08730
TU8J2-357	+	BSU37210
TU8J2-1068	-	BSU05440
TU8J2-17205	+	BSU19840
TU8J2-16659	-	BSU22760 // BSU22750 // BSU22740
TU8J2-16266	-	BSU11580
TU8J2-119	+	BSU27020
TU8J2-944	+	BSU09460
TU8J2-16269	+	BSU11640
TU8J2-216	+	BSU40620 // BSU40610 // BSU40600 // BSU40590 // BSU40580
TU8J2-2961	-	G8J2-159
TU8J2-3012	-	BSU11040 // BSU11055 // BSU11070
TU8J2-459	+	BSU33020 // BSU33010
TU8J2-3020	-	BSU34800
TU8J2-551	-	BSU29610
TU8J2-68	-	BSU35240
TU8J2-16464	-	BSU_18275 // BSU18270
TU8J2-17081	-	BSU05060
TU8J2-16244	+	BSU10850
TU8J2-16757	-	BSU26530
TU8J2-17302	-	BSU33880
TU8J2-859	-	BSU14020
TU8J2-15971	+	BSU00660
TU8J2-17190	-	BSU18900
TU8J2-16434	+	BSU17480
TU8J2-959	-	BSU09100
TU8J2-16180	+	BSU08560
TU8J2-1296	-	BSU35400 // BSU35410 // BSU35420 // BSU35430
TU8J2-16132	-	BSU06073
TU8J2-693	+	BSU23830
TU8J2-17089	+	BSU05370
TU8J2-16495	-	BSU18979
TU8J2-17096	-	BSU06540
TU8J2-17262	-	BSU29860
TU8J2-16787	-	BSU26930
TU8J2-17106	+	BSU08770
TU8J2-335	-	BSU37790
TU8J2-644	-	BSU26560
TU8J2-93	-	BSU36250 // BSU36260
TU8J2-1166	-	BSU02090
TU8J2-17212	-	BSU20570
TU8J2-906	+	BSU11520
TU8J2-16500	-	BSU19040
TU8J2-16617	-	BSU21540 // BSU21530
TU8J2-16954	+	BSU_34399 // BSU34390
TU8J2-535	+	BSU29990
TU8J2-16081	+	BSU05120
TU8J2-911	+	BSU11260
TU8J2-17272	-	BSU30850
TU8J2-121	-	BSU10520 // BSU10530 // BSU10540 // BSU10550
TU8J2-940	-	BSU09690
TU8J2-43	+	BSU07900 // BSU07890 // BSU07880
TU8J2-452	+	BSU33320
TU8J2-16710	-	BSU25030
TU8J2-331	+	BSU37960
TU8J2-16462	-	BSU18160 // BSU18150
TU8J2-16138	+	BSU06350 // BSU06340 // BSU06330
TU8J2-1303	+	BSU03220 // BSU03210 // BSU03200
TU8J2-17328	-	BSU40740
TU8J2-785	-	BSU18440 // BSU18450
TU8J2-16622	-	BSU21590
TU8J2-719	-	BSU23080
TU8J2-16708	-	BSU25010
TU8J2-17427	-	BSU_MISC_RNA_38
TU8J2-16170	+	BSU07250
TU8J2-406	-	BSU36050
TU8J2-313	+	BSU38400
TU8J2-2960	-	BSU31850 // BSU31860 // BSU31875 // BSU31890 // BSU31900 // BSU31910
TU8J2-702	-	BSU23630
TU8J2-16918	-	BSU32970 // BSU32960
TU8J2-17071	+	BSU03560
TU8J2-15965	+	BSU00360
TU8J2-17167	-	BSU14620
TU8J2-16163	+	BSU07090
TU8J2-16279	+	BSU11970
TU8J2-408	-	BSU36000 // BSU36010
TU8J2-17159	-	BSU13660
TU8J2-17078	-	BSU05000
TU8J2-16635	+	BSU21930 // BSU_21925
TU8J2-16316	+	BSU13430
TU8J2-16503	-	BSU19090
TU8J2-1209	-	BSU00160
TU8J2-16304	-	BSU13180
TU8J2-496	-	BSU31360
TU8J2-606	+	BSU28320
TU8J2-1146	+	BSU02760 // BSU02750
TU8J2-16839	-	BSU29450 // BSU29440 // BSU29430
TU8J2-16284	-	BSU12080
TU8J2-16252	-	BSU11139
TU8J2-15983	+	BSU01110 // BSU01100
TU8J2-1044	+	BSU06360
TU8J2-347	-	BSU37490 // BSU37500
TU8J2-16614	+	BSU21410 // BSU_21409 // BSU21400
TU8J2-650	-	BSU25710
TU8J2-994	+	BSU08240 // BSU08230
TU8J2-16144	+	BSU06640
TU8J2-688	-	BSU23990
TU8J2-814	+	BSU17030
TU8J2-733	-	BSU22150
TU8J2-700	-	BSU23650 // BSU23660 // BSU23670 // BSU23680 // BSU23690
TU8J2-1023	+	BSU07480
TU8J2-16937	-	BSU33590
TU8J2-16489	+	BSU18880
TU8J2-1240	+	BSU08220 // BSU08210
TU8J2-547	+	BSU_MISC_RNA_93 // BSU29660
TU8J2-17100	-	BSU06700
TU8J2-1073	-	BSU04610
TU8J2-655	-	BSU25520 // BSU25530
TU8J2-305	+	BSU38550
TU8J2-1036	+	BSU07260
TU8J2-784	+	BSU18460
TU8J2-927	+	BSU10330
TU8J2-389	-	BSU36480
TU8J2-246	+	BSU39960
TU8J2-1070	+	BSU04740 // BSU04730 // BSU04720 // BSU04710 // BSU04700 // BSU04690 // BSU04680 // BSU04670
TU8J2-799	+	BSU17890
TU8J2-16414	+	BSU17000 // BSU16990
TU8J2-1305	-	BSU28850 // BSU28860 // BSU28870
TU8J2-477	-	BSU31750
TU8J2-16653	-	BSU22570
TU8J2-1118	-	BSU03420 // BSU03430
TU8J2-17016	+	BSU38229
TU8J2-557	-	BSU29490
TU8J2-16509	+	BSU19280 // BSU19270
TU8J2-16436	+	BSU17500
TU8J2-17128	-	BSU10800
TU8J2-17067	-	BSU02810
TU8J2-16364	-	BSU14760
TU8J2-729	-	BSU22520
TU8J2-1244	-	BSU23329 // BSU23340
TU8J2-825	+	BSU16110
TU8J2-312	+	BSU38420 // BSU38410
TU8J2-921	-	BSU10430
TU8J2-14566	+	BSU14860
TU8J2-612	+	BSU28180
TU8J2-3004	-	BSU39400 // BSU39410 // BSU39420
TU8J2-1576	-	BSU33500 // BSU33510
TU8J2-1024	-	BSU07450 // BSU07460
TU8J2-211	+	BSU40730 // BSU40720
TU8J2-1245	-	BSU23390 // BSU23401 // BSU23402 // BSU23410 // BSU23420 // BSU23430 // BSU23440
TU8J2-755	+	BSU21700
TU8J2-16578	-	BSU20800 // BSU20790
TU8J2-809	+	BSU17460 // BSU17450
TU8J2-64	+	BSU10950 // BSU10940
TU8J2-16213	-	BSU09870 // BSU09860 // BSU09850
TU8J2-757	+	BSU19950
TU8J2-16236	+	BSU10510
TU8J2-16397	+	BSU16540 // BSU16530
TU8J2-15892	-	BSU12840 // BSU12850
TU8J2-16314	-	BSU13410 // BSU13400
TU8J2-1309	-	G8J2-14
TU8J2-359	-	BSU37150
TU8J2-857	+	BSU14140 // BSU14130 // BSU14120 // BSU14110 // BSU14100
TU8J2-16054	-	BSU03789
TU8J2-16440	+	BSU17559
TU8J2-17061	-	BSU40939
TU8J2-16515	-	BSU19410
TU8J2-926	-	BSU10380
TU8J2-16176	-	BSU07860
TU8J2-17052	-	BSU_40576
TU8J2-1186	+	BSU00880 // BSU00870 // BSU00860 // BSU00850 // BSU00840 // BSU00830
TU8J2-951	-	BSU09380
TU8J2-3027	+	BSU14170 // BSU14160 // BSU14150
TU8J2-17162	-	BSU13810
TU8J2-3006	+	BSU16500 // BSU16490
TU8J2-16067	+	BSU04570 // BSU04560
TU8J2-710	+	BSU23370
TU8J2-678	-	BSU24260
TU8J2-16422	-	BSU17240
TU8J2-3011	+	BSU04110
TU8J2-2955	-	BSU14530 // BSU14540
TU8J2-2990	+	BSU04660 // BSU04650
TU8J2-2959	-	BSU35490
TU8J2-16020	-	BSU02040
TU8J2-1412	-	BSU14210
TU8J2-935	-	BSU09990
TU8J2-351	-	BSU37330
TU8J2-879	+	BSU13160
TU8J2-752	-	BSU21760 // BSU21770
TU8J2-1095	+	BSU04000
TU8J2-2996	+	BSU15840 // BSU15830
TU8J2-413	-	BSU35860
TU8J2-16857	-	BSU30660
TU8J2-15863	+	BSU11490
TU8J2-548	-	BSU29650
TU8J2-17311	-	BSU35040
TU8J2-16042	-	BSU02960
TU8J2-195	-	BSU09180
TU8J2-280	+	BSU39020
TU8J2-17433	-	BSU32790
TU8J2-17305	+	BSU34190
TU8J2-16076	+	BSU05080
TU8J2-16145	+	BSU06690 // BSU06680 // BSU06670
TU8J2-782	+	BSU18580
TU8J2-867	+	BSU13820
TU8J2-941	+	BSU09540 // BSU09530
TU8J2-2956	+	BSU16780
TU8J2-71	-	BSU25540
TU8J2-1013	+	BSU07750
TU8J2-622	-	BSU27900 // BSU27910
TU8J2-579	+	BSU28940
TU8J2-16408	+	BSU16860 // BSU16845
TU8J2-428	-	BSU35380 // BSU35370
TU8J2-16965	+	BSU34950
TU8J2-412	-	BSU35870 // BSU35880 // BSU35890 // BSU35900
TU8J2-414	+	BSU35840
TU8J2-676	-	BSU24330 // BSU24340 // BSU24350
TU8J2-16322	+	BSU13510 // BSU13509
TU8J2-16797	-	BSU27210
TU8J2-16214	+	BSU09900 // BSU09890
TU8J2-16264	+	BSU_11515
TU8J2-717	-	BSU23110 // BSU23120 // BSU23130 // BSU23140 // BSU23150
TU8J2-17295	+	BSU33190
TU8J2-17044	-	BSU40239
TU8J2-863	+	BSU13930 // BSU13920
TU8J2-16452	+	G8J2-175
TU8J2-17098	-	BSU06559
TU8J2-210	-	BSU40770 // BSU40780
TU8J2-177	-	BSU33780 // BSU33790
TU8J2-16260	+	BSU11350
TU8J2-17160	+	BSU13670
TU8J2-533	+	BSU30070
TU8J2-16181	+	BSU08670
TU8J2-15905	+	BSU29710 // BSU29700 // BSU29690
TU8J2-16537	-	BSU20010
TU8J2-77	+	BSU28660
TU8J2-912	+	BSU11250 // BSU11240 // BSU11230 // BSU11220 // BSU11210 // BSU11200 // BSU11190
TU8J2-1001	+	BSU08020 // BSU08010
TU8J2-845	-	BSU14800
TU8J2-429	-	BSU35360
TU8J2-175	-	BSU02410
TU8J2-14564	+	BSU12170 // BSU12160
TU8J2-16261	+	BSU11410
TU8J2-16920	-	BSU33140
TU8J2-874	-	BSU13470
TU8J2-12	-	BSU23490 // BSU23500
TU8J2-737	-	BSU22030
TU8J2-1075	-	BSU04550
TU8J2-16603	+	BSU21210 // BSU21200 // BSU21190 // BSU21180 // BSU21170 // BSU21160
TU8J2-1011	+	BSU07830
TU8J2-16523	-	BSU19650
TU8J2-973	+	BSU08600
TU8J2-16779	+	G8J2-170
TU8J2-403	+	BSU36090
TU8J2-373	-	BSU36760
TU8J2-1121	+	BSU03390
TU8J2-1157	+	BSU02520 // BSU02510 // BSU02500 // BSU02490 // BSU02480 // BSU02470 // BSU02460
TU8J2-16330	+	BSU13860
TU8J2-16318	+	BSU13440
TU8J2-16415	+	BSU17020 // BSU17010
TU8J2-17109	+	BSU_TRNA_82
TU8J2-17124	+	BSU10009
TU8J2-100	-	BSU27370
TU8J2-87	-	BSU27180
TU8J2-1004	+	BSU07980
TU8J2-15867	+	BSU13169 // BSU13160
TU8J2-16978	+	BSU36020
TU8J2-17166	+	BSU14550
TU8J2-961	+	BSU08980
TU8J2-16816	-	BSU_MISC_RNA_43
TU8J2-16689	-	BSU23980 // BSU23970 // BSU23960
TU8J2-366	-	BSU36990
TU8J2-1127	+	BSU03150
TU8J2-16461	+	BSU18140
TU8J2-112	-	BSU30390 // BSU30400
TU8J2-750	-	BSU21800
TU8J2-423	-	BSU35620 // BSU35630 // BSU35640
TU8J2-377	-	BSU36720
TU8J2-16277	+	BSU11930
TU8J2-16680	-	BSU23540
TU8J2-16034	-	BSU02400
TU8J2-16665	-	BSU22910
TU8J2-16285	-	BSU12140
TU8J2-1220	+	BSU11720
TU8J2-16064	+	BSU04480
TU8J2-16730	-	BSU26040 // BSU26039
TU8J2-623	+	BSU27890 // BSU27880
TU8J2-15978	+	BSU01000 // BSU00990
TU8J2-16126	-	BSU06033
TU8J2-184	-	BSU13550 // BSU13560
TU8J2-448	-	BSU33470 // BSU33480
TU8J2-45	-	BSU29610
TU8J2-16598	+	BSU21050
TU8J2-580	-	BSU28920
TU8J2-242	-	BSU40010
TU8J2-84	+	BSU16950
TU8J2-15992	+	BSU01430
TU8J2-864	+	BSU13910 // BSU13900 // BSU13890
TU8J2-969	-	BSU08640
TU8J2-316	-	BSU38290 // BSU38300 // BSU38310
TU8J2-930	-	BSU10280
TU8J2-592	+	BSU28620
TU8J2-16463	-	BSU18200
TU8J2-46	-	BSU33540
TU8J2-16280	+	BSU11980
TU8J2-369	-	BSU36910 // BSU36920
TU8J2-494	+	BSU31380
TU8J2-1106	-	BSU03790
TU8J2-17103	+	BSU07230
TU8J2-464	+	BSU32650 // BSU32640
TU8J2-17252	-	BSU27680
TU8J2-16542	-	BSU20060
TU8J2-17070	-	BSU03160
TU8J2-720	+	BSU23070
TU8J2-91	+	BSU05880 // BSU05870 // BSU05860 // BSU05850 // BSU05840 // BSU05830 // BSU05820 // BSU05810
TU8J2-1184	+	BSU00970 // BSU00960 // BSU00950 // BSU00940 // BSU00930 // BSU00920
TU8J2-1267	-	BSU03280 // BSU03290 // BSU03300
TU8J2-17194	+	BSU19259
TU8J2-17141	-	BSU11820
TU8J2-16624	+	BSU21620 // BSU21610
TU8J2-515	-	BSU30670
TU8J2-775	-	BSU18780
TU8J2-16789	-	BSU26940
