Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Genes of polypeptide, complex, or RNA	Common-Name	Locations
BSU27030-MONOMER	BSU27030	BSU27030	2758043	2760076	BSU27030	levanase	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
BSU20770-MONOMER	BSU20770	BSU20770	2203378	2203596	BSU20770	conserved protein of unknown function; phage SPbeta	
BSU28450-MONOMER	BSU28450	BSU28450	2908129	2908737	BSU28450	succinate dehydrogenase (cytochrome b558 subunit)	CCI-PM-BAC-POS-GP
BSU36950-MONOMER	BSU36950	BSU36950	3792969	3794009	BSU36950	<small>L</small>-threonylcarbamoyladenylate synthase	CCI-CYTOSOL-GP
BSU11079-MONOMER	BSU11079	BSU11079	1184657	1185004	BSU11079	putative transcriptional regulator	
BSU22200-MONOMER	BSU22200	BSU22200	2332784	2333011	BSU22200	spore coat protein (inner)	
BSU33730-MONOMER	BSU33730	BSU33730	3462105	3463250	BSU33730	choline ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
BSU01630-MONOMER	BSU01630	BSU01630	182370	183323	BSU01630	ferri-bacillibactin-binding lipoprotein	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
BSU27020-MONOMER	BSU27020	BSU27020	2757492	2758001	BSU27020	deglycase; general stress protecting enzyme; protects against methylglyoxal toxicity	CCI-CYTOSOL-GP
BSU02390-MONOMER	BSU02390	BSU02390	259016	260086	BSU02390	isoleucine-valine aminotransferase / aromatic amino acid aminotransferase	
BSU15030-MONOMER	BSU15030	BSU15030	1570574	1571800	BSU15030	dipicolinic acid transporter (to the spore)	CCI-PM-BAC-POS-GP
BSU00550-MONOMER	BSU00550	BSU00550	60430	63963	BSU00550	transcription-repair coupling factor	CCI-CYTOSOL-GP
BSU31000-MONOMER	BSU31000	BSU31000	3179926	3180447	BSU31000	putative N-acetyltransferase	
BSU20300-MONOMER	BSU20300	BSU20300	2174104	2174319	BSU20300	conserved hypothetical protein; phage SPbeta	
BSU12720-MONOMER	BSU12720	BSU12720	1340932	1341357	BSU12720	phage PBSX; conserved hypothetical protein	
BSU40780-MONOMER	BSU40780	BSU40780	4189091	4189153	BSU40780	tetracycline resistance leader peptide	
BSU_11800-MONOMER	BSU_11800	BSU_11800	1252858	1253073	BSU_11800	sporulation-specific protein	
BSU14900-MONOMER	BSU14900	BSU14900	1561569	1563437	BSU14900	cytochrome <i>caa</i><sub>3</sub> oxidase (subunit I)	CCI-PM-BAC-POS-GP
BSU24090-MONOMER	BSU24090	BSU24090	2503765	2504664	BSU24090	phosphate BCFA and butyryl coenzyme A transferase	
BSU27680-MONOMER	BSU27680	BSU27680	2831124	2831780	BSU27680	conserved spore membrane protein	CCI-PM-BAC-POS-GP
BSU28650-MONOMER	BSU28650	BSU28650	2930827	2931573	BSU28650	ribosomal RNA methylase	CCI-CYTOSOL-GP
BSU38320-MONOMER	BSU38320	BSU38320	3933209	3933595	BSU38320	metabolic regulator of murein hydrolases	CCI-PM-BAC-POS-GP
BSU32510-MONOMER	BSU32510	BSU32510	3339945	3340937	BSU32510	xanthine dehydrogenase molybdopterin recruitment factor	
BSU26210-MONOMER	BSU26210	BSU26210	2690381	2690845	BSU26210	protein of unknown function; skin element	
BSU21150-MONOMER	BSU21150	BSU21150	2236269	2237285	BSU21150	conserved protein of unknown function; phage SPbeta	
BSU32669-MONOMER	BSU32669	BSU32669	3355045	3355323	BSU32669	putative transcriptional regulator	
CPLX8J2-292	BSU24520		2543440	2543868	BSU24520	MntR-Mn<SUP>2+</SUP>	
BSU13960-MONOMER	BSU13960	BSU13960	1465733	1466599	BSU13960	putative beta-hydroxyacid dehydrogenase (acts on 3-hydroxypropionate with NADP), tartronate semialdehyde reductase	CCI-PM-BAC-POS-GP
BSU36560-MONOMER	BSU36560	BSU36560	3760694	3761185	BSU36560	putative aminoacid analogs (phosphinothricin) N-acetyltransferase	
BSU15800-MONOMER	BSU15800	BSU15800	1654730	1655374	BSU15800	thiamine pyrophosphokinase	
BSU25140-MONOMER	BSU25140	BSU25140	2594184	2595500	BSU25140	ATP-dependent RNA helicase; cold shock	CCI-RIBOSOME-GP // CCI-CYTOSOL-GP // CCI-BAC-NUCLEOID-GP
BSU33600-MONOMER	BSU33600	BSU33600	3451248	3451718	BSU33600	tmRNA-binding protein	CCI-CYTOSOL-GP
BSU40290-MONOMER	BSU40290	BSU40290	4139679	4140149	BSU40290	putative N-acetyltransferase	
BSU29430-MONOMER	BSU29430	BSU29430	3011555	3011791	BSU29430	conserved protein of unknown function	
BSU07410-MONOMER	BSU07410	BSU07410	814109	814264	BSU07410	hypothetical protein	
BSU03860-MONOMER	BSU03860	BSU03860	438516	439265	BSU03860	NADPH-FMN oxidoreductase (nitroreductase)	
BSU31040-MONOMER	BSU31040	BSU31040	3183201	3183779	BSU31040	conserved protein of unknown function	
BSU35320-MONOMER	BSU35320	BSU35320	3632150	3632491	BSU35320	flagellar assembly protein involved in control of flagella expression	CCI-CYTOSOL-GP
BSU22290-MONOMER	BSU22290	BSU22290	2339670	2339774	BSU22290	small acid-soluble spore protein	
BSU08050-MONOMER	BSU08050	BSU08050	878081	878770	BSU08050	conserved hypothetical protein	
BSU28330-MONOMER	BSU28330	BSU28330	2898292	2898747	BSU28330	indole acetic acid N-acetyltransferase	CCI-CYTOSOL-GP
BSU22750-MONOMER	BSU22750	BSU22750	2382907	2383608	BSU22750	demethylmenaquinone methyltransferase	
MONOMER8J2-50	G8J2-21	BSU23616	2459141	2459263	G8J2-21	cell division inhibitor (developmental regulator, FtsZ inhibitor)	CCI-CYTOSOL-GP
BSU00700-MONOMER	BSU00700	BSU00700	79092	79868	BSU00700	type III pantothenate kinase	CCI-CYTOSOL-GP
BSU16280-MONOMER	BSU16280	BSU16280	1699738	1700160	BSU16280	flagellar hook capping protein	
BSU39970-MONOMER	BSU39970	BSU39970	4104929	4106137	BSU39970	integral inner membrane protein involved in response to flavonoids	CCI-PM-BAC-POS-GP
BSU40470-MONOMER	BSU40470	BSU40470	4159577	4159717	BSU40470	conserved hypothetical protein	
BSU04470-MONOMER	BSU04470	BSU04470	500166	501431	BSU04470	C4-dicarboxylate transport protein	CCI-PM-BAC-POS-GP
MONOMER8J2-47	G8J2-18	BSU04536	506455	506619	G8J2-18	Fur-regulated basic protein A	
CPLX8J2-302	BSU16760 // G8J2-188		1747123	1748337	BSU16760 // G8J2-188	aspartate kinase I	
BSU23230-MONOMER	BSU23230	BSU23230	2426867	2427391	BSU23230	conserved protein of unknown function	
BSU15740-MONOMER	BSU15740	BSU15740	1647939	1649282	BSU15740	RNA-binding Sun protein; 16S rRNA m5C967 methyltransferase, S-adenosyl-L-methionine-dependent	CCI-CYTOSOL-GP
BSU00510-MONOMER	BSU00510	BSU00510	57745	58698	BSU00510	phosphoribosylpyrophosphate synthetase	CCI-CYTOSOL-GP
BSU34780-MONOMER	BSU34780	BSU34780	3572413	3572889	BSU34780	tri(di)phosphate RNA pyrophosphate hydrolase	CCI-CYTOSOL-GP
BSU07820-MONOMER	BSU07820	BSU07820	853556	854272	BSU07820	transcriptional regulator (TreR-trehalose)	
BSU06160-MONOMER	BSU06160	BSU06160	668601	669992	BSU06160	prophage region 3; H+-glucitol symporter;	CCI-PM-BAC-POS-GP
BSU27200-MONOMER	BSU27200	BSU27200	2779462	2780262	BSU27200	formate/nitrite transporter	CCI-PM-BAC-POS-GP
BSU19630-MONOMER	BSU19630	BSU19630	2135470	2136171	BSU19630	purine nucleoside phosphorylase	CCI-CYTOSOL-GP
BSU19259-MONOMER	BSU19259	BSU19259	2098102	2098329	BSU19259	conserved protein of unknown function	
BSU12400-MONOMER	BSU12400	BSU12400	1312851	1313615	BSU12400	putative permease	CCI-PM-BAC-POS-GP
BSU17460-MONOMER	BSU17460	BSU17460	1878425	1879759	BSU17460	glutamine synthetase	CCI-CYTOSOL-GP
BSU32810-MONOMER	BSU32810	BSU32810	3366573	3366929	BSU32810	putative oxidoreductase with thioredoxin domain and regulator domain	CCI-CYTOSOL-GP
BSU11620-MONOMER	BSU11620	BSU11620	1238523	1239374	BSU11620	pseudouridylate synthase	CCI-CYTOSOL-GP
BSU15410-MONOMER	BSU15410	BSU15410	1611654	1612427	BSU15410	factor involved in shape determination, RNA-binding fold	CCI-RIBOSOME-GP
BSU29870-MONOMER	BSU29870	BSU29870	3056479	3056796	BSU29870	conserved protein of unknown function	
BSU07800-MONOMER	BSU07800	BSU07800	850367	851779	BSU07800	phosphotransferase system (PTS) trehalose-specific enzyme IIBC component	CCI-PM-BAC-POS-GP
BSU10210-MONOMER	BSU10210	BSU10210	1096116	1096523	BSU10210	putative RNA-binding PUA-containing enzyme	
BSU12870-MONOMER	BSU12870	BSU12870	1353080	1354030	BSU12870	hydroquinone-specific extradiol dioxygenase	CCI-CYTOSOL-GP
BSU23790-MONOMER	BSU23790	BSU23790	2471787	2472746	BSU23790	putative metal-dependent hydrolase	
BSU00920-MONOMER	BSU00920	BSU00920	111047	112498	BSU00920	glutamyl-tRNA<sup>Glx</sup> synthetase	CCI-CYTOSOL-GP
BSU13500-MONOMER	BSU13500	BSU13500	1416067	1417416	BSU13500	K<sup>+</sup> transporter family protein KtrD	CCI-PM-BAC-POS-GP
BSU28200-MONOMER	BSU28200	BSU28200	2880466	2882790	BSU28200	class III heat-shock ATP-dependent LonA protease	CCI-CYTOSOL-GP
BSU01160-MONOMER	BSU01160	BSU01160	135712	136341	BSU01160	ribosomal protein L3 (BL3)	CCI-RIBOSOME-GP
BSU21400-MONOMER	BSU21400	BSU21400	2262437	2263261	BSU21400	conserved protein of unknown function; phage SPbeta	
BSU11490-MONOMER	BSU11490	BSU11490	1226938	1227516	BSU11490	putative acetyltransferase; putative thiol oxidation management factor	CCI-CYTOSOL-GP
BSU32070-MONOMER	BSU32070	BSU32070	3298584	3299240	BSU32070	stationary phase survival protein required for legionaminic acid synthesis	CCI-PM-BAC-POS-GP
BSU36410-MONOMER	BSU36410	BSU36410	3747254	3748255	BSU36410	MreB-like morphogen	CCI-CYTOSOL-GP
BSU14580-MONOMER	BSU14580	BSU14580	1528326	1529441	BSU14580	pyruvate dehydrogenase (E1 alpha subunit)	
BSU00720-MONOMER	BSU00720	BSU00720	80802	81695	BSU00720	putative protein chaperone accessory lipoprotein factor; putative proline isomerase	CCI-PM-BAC-POS-GP
CPLX8J2-1	BSU08090 // BSU08080 // BSU08070 // BSU08060		882266	883642	BSU08090 // BSU08080 // BSU08070 // BSU08060	acetoin dehydrogenase E1	
BSU20470-MONOMER	BSU20470	BSU20470	2190884	2191279	BSU20470	hypothetical protein; phage SPbeta	
BSU38020-MONOMER	BSU38020	BSU38020	3900963	3901778	BSU38020	pyridoxine, pyridoxal, and pyridoxamine kinase	CCI-CYTOSOL-GP
BSU07160-MONOMER	BSU07160	BSU07160	785543	785905	BSU07160	putative lyase/dioxygenase	
BSU24770-MONOMER	BSU24770	BSU24770	2564026	2564406	BSU24770	regulator of stress	CCI-CYTOSOL-GP
BSU17150-MONOMER	BSU17150	BSU17150	1789943	1791205	BSU17150	bacillaene 3-carboxymethyl-3-hydroxy-acyl-[acp] synthase	CCI-CYTOSOL-GP
BSU40440-MONOMER	BSU40440	BSU40440	4157471	4158835	BSU40440	replicative DNA helicase	CCI-CYTOSOL-GP
BSU38940-MONOMER	BSU38940	BSU38940	3997221	3997709	BSU38940	conserved protein of unknown function	
BSU10750-MONOMER	BSU10750	BSU10750	1152244	1153149	BSU10750	hydrolase/isomerase involved in remodelling the bacterial envelope	CCI-CYTOSOL-GP
BSU29400-MONOMER	BSU29400	BSU29400	3008938	3009864	BSU29400	transcriptional regulator of operon snaA-ytnM degrading cysteine-containing compounds (AscR-N-acetylcysteine)	CCI-CYTOSOL-GP
BSU14160-MONOMER	BSU14160	BSU14160	1487504	1488397	BSU14160	conserved hypothetical protein	
BSU20550-MONOMER	BSU20550	BSU20550	2194718	2195059	BSU20550	conserved hypothetical protein; phage SPbeta	
BSU22920-MONOMER	BSU22920	BSU22920	2397765	2399117	BSU22920	spore germination membrane component	
BSU23210-MONOMER	BSU23210	BSU23210	2425248	2425841	BSU23210	chromosome condensation and segregation factor	CCI-CYTOSOL-GP
BSU18730-MONOMER	BSU18730	BSU18730	2043186	2043668	BSU18730	putative toxin of a toxin / antitoxin system; putative defective prophage 6	CCI-PM-BAC-POS-GP
BSU23890-MONOMER	BSU23890	BSU23890	2483904	2484731	BSU23890	Sec-independent factor for membrane protein insertion (YidC/SpoIIIJ family)	CCI-PM-BAC-POS-GP
BSU27630-MONOMER	BSU27630	BSU27630	2825846	2826169	BSU27630	conserved spore protein of unknown function	CCI-PM-BAC-POS-GP
BSU00610-MONOMER	BSU00610	BSU00610	68515	69150	BSU00610	membrane protein of the forespore	CCI-PM-BAC-POS-GP
BSU39940-MONOMER	BSU39940	BSU39940	4102429	4103661	BSU39940	membrane associated protein kinase with beta-propeller domain	CCI-PM-BAC-POS-GP // CCI-EXTRACELLULAR-GP
CPLX-8657	BSU06150	BSU06150	667466	668527	BSU06150	glucitol dehydrogenase	
BSU35030-MONOMER	BSU35030	BSU35030	3597289	3598020	BSU35030	transcriptional regulator (GntR family)	
BSU14380-MONOMER	BSU14380	BSU14380	1507578	1508333	BSU14380	transcriptional regulator (DeoR family)	
BSU32200-MONOMER	BSU32200	BSU32200	3308867	3309934	BSU32200	putative NADH dehydrogenase	
BSU32950-MONOMER	BSU32950	BSU32950	3380157	3380594	BSU32950	spore lipoprotein	
BSU11700-MONOMER	BSU11700	BSU11700	1245808	1246818	BSU11700	[sulfur-carrier protein ThiS] adenylyltransferase	CCI-CYTOSOL-GP
BSU38790-MONOMER	BSU38790	BSU38790	3982973	3983173	BSU38790	putative bacteriocin	
BSU29960-MONOMER	BSU29960	BSU29960	3065751	3066302	BSU29960	RNA 2',3'-cyclic phosphodiesterase	CCI-CYTOSOL-GP
BSU40490-MONOMER	BSU40490	BSU40490	4161103	4163160	BSU40490	putative glycosyl transferase	CCI-PM-BAC-POS-GP
BSU26260-MONOMER	BSU26260	BSU26260	2693597	2694538	BSU26260	putative helicase loader; skin element	
BSU22960-MONOMER	BSU22960	BSU22960	2402067	2403350	BSU22960	cryptic glutamate dehydrogenase (active after removal of a 9 bp insert)	
BSU28550-MONOMER	BSU28550	BSU28550	2917957	2918541	BSU28550	transcriptional regulator of fatty acids degradation [FadR-long-chain (C14-C20) acyl-CoAs]	CCI-CYTOSOL-GP
BSU29300-MONOMER	BSU29300	BSU29300	3000985	3001677	BSU29300	riboflavin kinase / FMN-riboswitch-binding activator of rib genes	CCI-CYTOSOL-GP
CPLX8J2-79	BSU10630 // BSU10620		1139807	1143505	BSU10630 // BSU10620	ATP-dependent helicase/nuclease	
BSU30950-MONOMER	BSU30950	BSU30950	3166118	3167572	BSU30950	glycogen (starch) synthase	CCI-CYTOSOL-GP
BSU22700-MONOMER	BSU22700	BSU22700	2378012	2379100	BSU22700	3-dehydroquinate synthase	CCI-CYTOSOL-GP
BSU34510-MONOMER	BSU34510	BSU34510	3542179	3542691	BSU34510	putative spore coat protein	
BSU12240-MONOMER	BSU12240	BSU12240	1294996	1295748	BSU12240	ABC family transporter membrane protein YjkA	CCI-PM-BAC-POS-GP
BSU25900-MONOMER	BSU25900	BSU25900	2664573	2665391	BSU25900	N-acetylmuramoyl-L-alanine amidase; skin element	
BSU36100-MONOMER	BSU36100	BSU36100	3719134	3720711	BSU36100	oxamate amidohydrolase	
BSU13799-MONOMER	BSU13799	BSU13799	1446317	1446568	BSU13799	putative spore-specific glycosyl hydrolase	
BSU20430-MONOMER	BSU20430	BSU20430	2187376	2187756	BSU20430	conserved protein of unknown function; phage SPbeta	
BSU34140-MONOMER	BSU34140	BSU34140	3505102	3505953	BSU34140	galacto-oligosaccharides (galactan) oligomer permease	CCI-PM-BAC-POS-GP
BSU38050-MONOMER	BSU38050	BSU38050	3903646	3905031	BSU38050	phosphotransferase system (PTS) sucrose-specific enzyme IIBC component	CCI-PM-BAC-POS-GP
BSU25270-MONOMER	BSU25270	BSU25270	2607762	2608649	BSU25270	glycyl-tRNA synthetase (alpha subunit)	CCI-CYTOSOL-GP
BSU23360-MONOMER	BSU23360	BSU23360	2435360	2435791	BSU23360	peptidyl-prolyl isomerase	CCI-CYTOSOL-GP
BSU37790-MONOMER	BSU37790	BSU37790	3880740	3882014	BSU37790	glutamate dehydrogenase	
BSU13540-MONOMER	BSU13540	BSU13540	1421426	1421923	BSU13540	O6-alkylguanine DNA alkyltransferase	CCI-CYTOSOL-GP
BSU24350-MONOMER	BSU24350	BSU24350	2531718	2532197	BSU24350	acetyl-CoA carboxylase subunit (biotin carboxyl carrier subunit)	CCI-CYTOSOL-GP
BSU32190-MONOMER	BSU32190	BSU32190	3308368	3308604	BSU32190	conserved protein of unknown function	
BSU40860-MONOMER	BSU40860	BSU40860	4196350	4196730	BSU40860	putative C-S lyase	
BSU23030-MONOMER	BSU23030	BSU23030	2408405	2409463	BSU23030	subunit of the platform for genome maintenance machinery	
BSU34520-MONOMER	BSU34520	BSU34520	3542943	3544286	BSU34520	outer spore coat protein; putative oxidoreductase	
BSU38460-MONOMER	BSU38460	BSU38460	3947158	3948399	BSU38460	tyrosyl-tRNA synthetase	CCI-CYTOSOL-GP
BSU15060-MONOMER	BSU15060	BSU15060	1573807	1575054	BSU15060	tRNA<sup>Met</sup> cytidine acetate ligase	CCI-CYTOSOL-GP
BSU22100-MONOMER	BSU22100	BSU22100	2323009	2323599	BSU22100	2-keto-3-deoxygluconate-6-phosphate aldolase	CCI-CYTOSOL-GP
BSU34950-MONOMER	BSU34950	BSU34950	3590603	3591268	BSU34950	secreted pectate (polygalacturonate) lyase	CCI-EXTRACELLULAR-GP
BSU25430-MONOMER	BSU25430	BSU25430	2621677	2623032	BSU25430	tRNA (<em>N</em><small><sup>6</sup></small>-<small>L</small>-threonylcarbamoyladenosine<small><sup>37</sup></small>-<em>C</em><small><sup>2</sup></small>)-methylthiotransferase	CCI-CYTOSOL-GP
BSU19000-MONOMER	BSU19000	BSU19000	2071754	2073556	BSU19000	biofilm-interspecies competition phage type II toxin DNase; putative defective prophage 6	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
BSU18710-MONOMER	BSU18710	BSU18710	2041330	2041827	BSU18710	putative lipoprotein; putative defective prophage 6	CCI-PM-BAC-POS-GP
BSU32800-MONOMER	BSU32800	BSU32800	3366123	3366506	BSU32800	glycine cleavage system protein H (lipoyl acceptor protein)	CCI-CYTOSOL-GP
BSU34900-MONOMER	BSU34900	BSU34900	3585690	3586274	BSU34900	imidazoleglycerol-phosphate dehydratase [Mn(II)-dependent]	CCI-CYTOSOL-GP
BSU25840-MONOMER	BSU25840	BSU25840	2660330	2660464	BSU25840	regulator peptide of the activity of phosphatase RapE; skin element	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
BSU27610-MONOMER	BSU27610	BSU27610	2822901	2823413	BSU27610	adenine phosphoribosyltransferase	CCI-CYTOSOL-GP
BSU21520-MONOMER	BSU21520	BSU21520	2272156	2272491	BSU21520	conserved phage protein of unknown function; phage SPbeta	
BSU02680-MONOMER	BSU02680	BSU02680	290132	290698	BSU02680	transcriptional repressor of lmrAB and yxaGH operons (flavonoid and antibiotic resistance)	CCI-CYTOSOL-GP
BSU25700-MONOMER	BSU25700	BSU25700	2647920	2648651	BSU25700	putative lipoprotein; putative esterase; sporulation / germination protein	CCI-PM-BAC-POS-GP
BSU22030-MONOMER	BSU22030	BSU22030	2312529	2316110	BSU22030	dynamin GTPase stabilizes membranes against phage infection	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP
BSU39580-MONOMER	BSU39580	BSU39580	4065597	4065962	BSU39580	inner spore coat protein	
CPLX8J2-170	BSU17020 // BSU14990 // BSU00320		1774374	1774805	BSU17020 // BSU14990 // BSU00320	regulator of Spo0A phosphorylation	
BSU14290-MONOMER	BSU14290	BSU14290	1498445	1498966	BSU14290	molybdopterin-guanine dinucleotide biosynthesis protein B	
BSU22470-MONOMER	BSU22470	BSU22470	2358208	2358918	BSU22470	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1; malate N-acetylglucosamine N-acetyl hydrolase	
BSU14790-MONOMER	BSU14790	BSU14790	1548389	1548598	BSU14790	conserved hypothetical protein	
BSU30230-MONOMER	BSU30230	BSU30230	3093343	3094689	BSU30230	L-lysine-8-amino-7-oxononanoate aminotransferase	CCI-CYTOSOL-GP
BSU33470-MONOMER	BSU33470	BSU33470	3437644	3438060	BSU33470	protein dithiol:quinone oxidoreductase BdbC	CCI-PM-BAC-POS-GP
BSU21410-MONOMER	BSU21410	BSU21410	2263489	2264592	BSU21410	bacteriophage SP&beta; <em>N</em>-acetylmuramoyl-<small>L</small>-alanine amidase	CCI-PM-BAC-POS-GP // CCI-EXTRACELLULAR-GP
BSU17410-MONOMER	BSU17410	BSU17410	1872812	1873579	BSU17410	N-acetylmuramoyl-L-alanine amidase (sporulation-specific)	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP
BSU21760-MONOMER	BSU21760	BSU21760	2292432	2292683	BSU21760	conserved hypothetical protein	
BSU39620-MONOMER	BSU39620	BSU39620	4068189	4068536	BSU39620	putative lipoprotein of unknown function	CCI-PM-BAC-POS-GP
CPLX8J2-180	BSU19690	BSU19690	2139454	2140869	BSU19690		
BSU17430-MONOMER	BSU17430	BSU17430	1875304	1876566	BSU17430	ribosome-splitting GTPase (also ATPase, rescuing stalled ribosomes, E-site binding)	CCI-CYTOSOL-GP
BSU31580-MONOMER	BSU31580	BSU31580	3244770	3246116	BSU31580	Na+/malate symporter	CCI-PM-BAC-POS-GP
BSU40910-MONOMER	BSU40910	BSU40910	4199445	4199732	BSU40910	ribosomal protein S6 (BS9)	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
BSU17840-MONOMER	BSU17840	BSU17840	1916663	1917097	BSU17840	magnesium-dependent bacillithiol-transferase	CCI-CYTOSOL-GP
BSU26050-MONOMER	BSU26050	BSU26050	2678240	2678419	BSU26050	toxic peptide of toxin-antitoxin type I system; skin element	CCI-PM-BAC-POS-GP
BSU13310-MONOMER	BSU13310	BSU13310	1397411	1397743	BSU13310	nitrogen sensing transcriptional regulator	CCI-PM-BAC-POS-GP
BSU18410-MONOMER	BSU18410	BSU18410	2004677	2006440	BSU18410	bacillithiol hydrolase proenzyme	CCI-PM-BAC-POS-GP // CCI-EXTRACELLULAR-GP
BSU31280-MONOMER	BSU31280	BSU31280	3213854	3214252	BSU31280	conserved stress protein of unknown function	
BSU36050-MONOMER	BSU36050	BSU36050	3714739	3715881	BSU36050	spore coat protein (outer)	
BSU03100-MONOMER	BSU03100	BSU03100	335329	336090	BSU03100	putative function in processing non-ribosomal synthesized peptides (similar to phage protein)	
CPLX8J2-313	BSU33510		3443613	3443822	BSU33510	copper chaperone CopZ<sub>2</sub>-Cu(I)	
BSU05460-MONOMER	BSU05460	BSU05460	594186	594998	BSU05460	putative transcriptional regulator of efflux transporter	
BSU04720-MONOMER	BSU04720	BSU04720	522414	522896	BSU04720	switch protein/serine kinase and anti-sigma factor (inhibitory sigma-B binding protein)	
BSU05210-MONOMER	BSU05210	BSU05210	568345	568938	BSU05210	conserved hypothetical protein	
CPLX8J2-252	BSU00750 // BSU22680		84290	84874	BSU00750 // BSU22680	anthranilate synthase	
BSU12910-MONOMER	BSU12910	BSU12910	1359454	1360272	BSU12910	redundant pyrroline-5-carboxylate reductase	CCI-CYTOSOL-GP
BSU31130-MONOMER	BSU31130	BSU31130	3191843	3193378	BSU31130	putative efflux transporter	CCI-PM-BAC-POS-GP
BSU32250-MONOMER	BSU32250	BSU32250	3313770	3314828	BSU32250	threonine synthase	CCI-CYTOSOL-GP
BSU32220-MONOMER	BSU32220	BSU32220	3310386	3310721	BSU32220	iron-sulfur scaffold protein	CCI-CYTOSOL-GP
BSU05540-MONOMER	BSU05540	BSU05540	601019	601726	BSU05540	conserved hypothetical protein	CCI-PM-BAC-POS-GP
BSU19700-MONOMER	BSU19700	BSU19700	2140898	2141725	BSU19700	epsilon-amino-beta-lysine acetyl transferase	
BSU31290-MONOMER	BSU31290	BSU31290	3214372	3216036	BSU31290	putative oligo-1,6-glucosidase	CCI-CYTOSOL-GP
BSU18670-MONOMER	BSU18670	BSU18670	2037601	2038779	BSU18670	oxalate decarboxylase (Mn-dependent); spore constituent; putative defective prophage 6	CCI-CW-BAC-POS-GP // CCI-CYTOSOL-GP
BSU40330-MONOMER	BSU40330	BSU40330	4142675	4144078	BSU40330	arginine/ornithine/gamma-aminobutyrate permease	CCI-PM-BAC-POS-GP
BSU02760-MONOMER	BSU02760	BSU02760	297170	298330	BSU02760	Na<sup>+</sup> ABC efflux transporter membrane subunit	CCI-PM-BAC-POS-GP
BSU09430-MONOMER	BSU09430	BSU09430	1020073	1020948	BSU09430	transcriptional regulator CitR (LysR family)	CCI-CYTOSOL-GP
BSU31840-MONOMER	BSU31840	BSU31840	3265406	3266137	BSU31840	benzil reductase (benzoin forming)	CCI-CYTOSOL-GP
MONOMER8J2-59	G8J2-175	BSU_17845	1916955	1917302	G8J2-175	conserved protein of unknown function	
BSU30670-MONOMER	BSU30670	BSU30670	3137495	3137968	BSU30670	<i>S</i>-ribosylhomocysteine lyase monomer	
BSU18810-MONOMER	BSU18810	BSU18810	2049950	2050312	BSU18810	hypothetical protein	
BSU39060-MONOMER	BSU39060	BSU39060	4010404	4011684	BSU39060	secondary transporter of divalent metal ions/citrate complexes	CCI-PM-BAC-POS-GP
MONOMER-13770	G-10503	G-10503			G-10503	heptaprenyl diphosphate synthase component 2	
BSU14071-MONOMER	BSU14071	BSU14071	1479137	1480867	BSU14071	putative cell wall-binding hydrolase	
BSU34590-MONOMER	BSU34590	BSU34590	3552369	3553205	BSU34590	maltodextrin ABC transporter membrane subunit MdxG	CCI-PM-BAC-POS-GP
BSU18750-MONOMER	BSU18750	BSU18750	2044038	2044832	BSU18750	putative integral inner membrane protein; putative defective prophage 6	CCI-PM-BAC-POS-GP
BSU14410-MONOMER	BSU14410	BSU14410	1511308	1511889	BSU14410	type I signal peptidase	CCI-PM-BAC-POS-GP
BSU07790-MONOMER	BSU07790	BSU07790	848633	850174	BSU07790	putative spore germination protein	CCI-PM-BAC-POS-GP
BSU29570-MONOMER	BSU29570	BSU29570	3025445	3025654	BSU29570	small acid-soluble spore protein (alpha-type SASP)	
BSU_27085-MONOMER	BSU_27085	BSU_27085	2766379	2766519	BSU_27085	hypothetical protein	
BSU31590-MONOMER	BSU31590	BSU31590	3246152	3246367	BSU31590	putative bacteriocin	CCI-PM-BAC-POS-GP
BSU19530-MONOMER	BSU19530	BSU19530	2126549	2126938	BSU19530	putative tautomerase	
BSU_14568-MONOMER	BSU_14568	BSU_14568	1526924	1527067	BSU_14568	putative antitoxin	
BSU05710-MONOMER	BSU05710	BSU05710	616672	617934	BSU05710	spore cortex peptidoglycan hydrolase	CCI-EXTRACELLULAR-GP // CCI-CW-BAC-POS-GP
BSU19479-MONOMER	BSU19479	BSU19479	2122672	2122950	BSU19479	conserved protein involved in bacillithiol biosynthesis or conjugate metabolism	
BSU14530-MONOMER	BSU14530	BSU14530	1523118	1524785	BSU14530	ribonuclease J1	CCI-CYTOSOL-GP
BSU10020-MONOMER	BSU10020	BSU10020	1075289	1076368	BSU10020	phosphoserine aminotransferase	CCI-CYTOSOL-GP
BSU27380-MONOMER	BSU27380	BSU27380	2797100	2797381	BSU27380	putative nucleic acid binding protein present in dormant spores	
BSU21630-MONOMER	BSU21630	BSU21630	2281667	2282485	BSU21630	aminoglycoside N3'-acetyltransferase; phage SPbeta	CCI-CYTOSOL-GP
