Modified_enzyme	Core_enzyme	Modifications	Source
PDXK-CPLX_mod_zn2(1)	PDXK-CPLX	zn2(1)	M_protein_recon
PDXK-CPLX_mod_mg2(1)	PDXK-CPLX	mg2(1)	M_protein_recon
Ser_RS_dim_mod_mg2(1)	Ser_RS_dim	mg2(1)	M_protein_recon
TYRB-DIMER_mod_pydx5p(1)	TYRB-DIMER	pydx5p(1)	M_protein_recon
G6246-MONOMER_mod_mg2(1)	G6246-MONOMER	mg2(1)	M_protein_recon
DIHYDROOROTOX-MONOMER_mod_fmn(1)	DIHYDROOROTOX-MONOMER	fmn(1)	M_protein_recon
TDK-MONOMER_mod_mg2(1)	TDK-MONOMER	mg2(1)	M_protein_recon
GARTRANSFORMYL2-MONOMER_mod_mg2(1)	GARTRANSFORMYL2-MONOMER	mg2(1)	M_protein_recon
UXAC-MONOMER_mod_zn2(1)	UXAC-MONOMER	zn2(1)	M_protein_recon
SPOT-MONOMER_mod_mn2(1)	SPOT-MONOMER	mn2(1)	M_protein_recon
6PFK-1-CPX_mod_mg2(1)	6PFK-1-CPX	mg2(1)	M_protein_recon
ASPAMINOTRANS-DIMER_mod_pydx5p(1)	ASPAMINOTRANS-DIMER	pydx5p(1)	M_protein_recon
BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(1)	BRANCHED-CHAINAMINOTRANSFER-CPLX	pydx5p(1)	M_protein_recon
USHA-MONOMER_mod_cobalt2(1)	USHA-MONOMER	cobalt2(1)	M_protein_recon
CMPKI-MONOMER_mod_mg2(1)	CMPKI-MONOMER	mg2(1)	M_protein_recon
FLAVODOXIN1-MONOMER_mod_Oxidized(1)	FLAVODOXIN1-MONOMER	Oxidized(1)	M_protein_recon
FLAVODOXIN2-MONOMER_mod_Oxidized(1)	FLAVODOXIN2-MONOMER	Oxidized(1)	M_protein_recon
GLUTAREDOXIN-MONOMER_mod_Oxidized(1)	GLUTAREDOXIN-MONOMER	Oxidized(1)	M_protein_recon
GRXB-MONOMER_mod_Oxidized(1)	GRXB-MONOMER	Oxidized(1)	M_protein_recon
CPLX0-7817_mod_Oxidized(1)	CPLX0-7817	Oxidized(1)	M_protein_recon
GRXC-MONOMER_mod_Oxidized(1)	GRXC-MONOMER	Oxidized(1)	M_protein_recon
CPLX0-246_CPLX0-1342_mod_SH(1)	CPLX0-246_CPLX0-1342	SH(1)	M_protein_recon
EG10544-MONOMER_mod_palmitate(1)	EG10544-MONOMER	palmitate(1)	M_protein_recon
DSBG-CPLX_mod_Oxidized(1)	DSBG-CPLX	Oxidized(1)	M_protein_recon
DSBD-MONOMER_mod_Oxidized(1)	DSBD-MONOMER	Oxidized(1)	M_protein_recon
DSBC-CPLX_mod_Oxidized(1)	DSBC-CPLX	Oxidized(1)	M_protein_recon
EG11597-MONOMER_mod_amp(1)	EG11597-MONOMER	amp(1)	M_protein_recon
EG11597-MONOMER_mod_coo(1)	EG11597-MONOMER	coo(1)	M_protein_recon
EG11597-MONOMER_mod_cosh(1)	EG11597-MONOMER	cosh(1)	M_protein_recon
RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	RED-THIOREDOXIN-MONOMER	Oxidized(1)	M_protein_recon
RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	RED-THIOREDOXIN2-MONOMER	Oxidized(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)	EG50003-MONOMER	pan4p(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_ac(1)	EG50003-MONOMER	pan4p(1) AND ac(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	EG50003-MONOMER	pan4p(1) AND mal(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_but2e(1)	EG50003-MONOMER	pan4p(1) AND but2e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_act(1)	EG50003-MONOMER	pan4p(1) AND act(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_but(1)	EG50003-MONOMER	pan4p(1) AND but(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3ha(1)	EG50003-MONOMER	pan4p(1) AND 3ha(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_egme(1)	EG50003-MONOMER	pan4p(1) AND egme(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_ogme(1)	EG50003-MONOMER	pan4p(1) AND ogme(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_gme(1)	EG50003-MONOMER	pan4p(1) AND gme(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_hgme(1)	EG50003-MONOMER	pan4p(1) AND hgme(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_thex2e(1)	EG50003-MONOMER	pan4p(1) AND thex2e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3ohex(1)	EG50003-MONOMER	pan4p(1) AND 3ohex(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_hex(1)	EG50003-MONOMER	pan4p(1) AND hex(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hhex(1)	EG50003-MONOMER	pan4p(1) AND 3hhex(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_pim(1)	EG50003-MONOMER	pan4p(1) AND pim(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_epme(1)	EG50003-MONOMER	pan4p(1) AND epme(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_opme(1)	EG50003-MONOMER	pan4p(1) AND opme(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_pme(1)	EG50003-MONOMER	pan4p(1) AND pme(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_hpme(1)	EG50003-MONOMER	pan4p(1) AND hpme(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_toct2e(1)	EG50003-MONOMER	pan4p(1) AND toct2e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3ooct(1)	EG50003-MONOMER	pan4p(1) AND 3ooct(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	EG50003-MONOMER	pan4p(1) AND oc(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hoct(1)	EG50003-MONOMER	pan4p(1) AND 3hoct(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_tdec2e(1)	EG50003-MONOMER	pan4p(1) AND tdec2e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_cdec3e(1)	EG50003-MONOMER	pan4p(1) AND cdec3e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3odec(1)	EG50003-MONOMER	pan4p(1) AND 3odec(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)	EG50003-MONOMER	pan4p(1) AND dca(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hdec(1)	EG50003-MONOMER	pan4p(1) AND 3hdec(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)	EG50003-MONOMER	pan4p(1) AND t3c5ddece(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3ocddec5e(1)	EG50003-MONOMER	pan4p(1) AND 3ocddec5e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_tddec2e(1)	EG50003-MONOMER	pan4p(1) AND tddec2e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_cddec5e(1)	EG50003-MONOMER	pan4p(1) AND cddec5e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3oddec(1)	EG50003-MONOMER	pan4p(1) AND 3oddec(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hcddec5e(1)	EG50003-MONOMER	pan4p(1) AND 3hcddec5e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	EG50003-MONOMER	pan4p(1) AND ddca(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hddec(1)	EG50003-MONOMER	pan4p(1) AND 3hddec(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1)	EG50003-MONOMER	pan4p(1) AND t3c7mrse(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3ocmrs7e(1)	EG50003-MONOMER	pan4p(1) AND 3ocmrs7e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	EG50003-MONOMER	pan4p(1) AND tde(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_tmrs2e(1)	EG50003-MONOMER	pan4p(1) AND tmrs2e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3omrs(1)	EG50003-MONOMER	pan4p(1) AND 3omrs(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hcmrs7e(1)	EG50003-MONOMER	pan4p(1) AND 3hcmrs7e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	EG50003-MONOMER	pan4p(1) AND myrs(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hmrs(1)	EG50003-MONOMER	pan4p(1) AND 3hmrs(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_t3c9palme(1)	EG50003-MONOMER	pan4p(1) AND t3c9palme(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3ocpalm9e(1)	EG50003-MONOMER	pan4p(1) AND 3ocpalm9e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	EG50003-MONOMER	pan4p(1) AND hde(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)	EG50003-MONOMER	pan4p(1) AND tpalm2e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3opalm(1)	EG50003-MONOMER	pan4p(1) AND 3opalm(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hcpalm9e(1)	EG50003-MONOMER	pan4p(1) AND 3hcpalm9e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	EG50003-MONOMER	pan4p(1) AND palm(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hpalm(1)	EG50003-MONOMER	pan4p(1) AND 3hpalm(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_t3c11vace(1)	EG50003-MONOMER	pan4p(1) AND t3c11vace(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3ocvac11e(1)	EG50003-MONOMER	pan4p(1) AND 3ocvac11e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_toctd2e(1)	EG50003-MONOMER	pan4p(1) AND toctd2e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)	EG50003-MONOMER	pan4p(1) AND octe(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3ooctd(1)	EG50003-MONOMER	pan4p(1) AND 3ooctd(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hcvac11e(1)	EG50003-MONOMER	pan4p(1) AND 3hcvac11e(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)	EG50003-MONOMER	pan4p(1) AND ocdca(1)	M_protein_recon
EG50003-MONOMER_mod_pan4p(1)_mod_3hocta(1)	EG50003-MONOMER	pan4p(1) AND 3hocta(1)	M_protein_recon
MiaB_mono_mod_4fe4s(1)	MiaB_mono	4fe4s(1)	2011_Updated_E_recon
RumB_mono_mod_4fe4s(1)	RumB_mono	4fe4s(1)	2011_Updated_E_recon
RumA_mono_mod_4fe4s(1)	RumA_mono	4fe4s(1)	2011_Updated_E_recon
rpL7/12_mod_acetyl(1)	rpL7/12	acetyl(1)	2011_Updated_E_recon
Def_mono_mod_fe2(1)	Def_mono	fe2(1)	2011_Updated_E_recon
Map_mono_mod_fe2(2)	Map_mono	fe2(2)	2011_Updated_E_recon
Mfd_mono_mod_mg2(1)	Mfd_mono	mg2(1)	2011_Updated_E_recon
Rnb_mono_mod_mg2(1)	Rnb_mono	mg2(1)	2011_Updated_E_recon
RluD_mono_mod_mg2(1)	RluD_mono	mg2(1)	2011_Updated_E_recon
RpoZ_mono_mod_mg2(1)	RpoZ_mono	mg2(1)	2011_Updated_E_recon
RNase_III_dim_mod_mg2(2)	RNase_III_dim	mg2(2)	2011_Updated_E_recon
RNase_P_cplx_mod_mg2(2)	RNase_P_cplx	mg2(2)	2011_Updated_E_recon
Orn_dim_mod_mg2(2)	Orn_dim	mg2(2)	2011_Updated_E_recon
MiaA_dim_mod_mg2(2)	MiaA_dim	mg2(2)	2011_Updated_E_recon
Rho_hexa_mod_mg2(3)	Rho_hexa	mg2(3)	2011_Updated_E_recon
RNase_T_dim_mod_mg2(4)	RNase_T_dim	mg2(4)	2011_Updated_E_recon
Rnd_mono_mod_mg2(5)	Rnd_mono	mg2(5)	2011_Updated_E_recon
hRNAP_mod_zn2(1)_mod_mg2(2)	hRNAP	zn2(1) AND mg2(2)	2011_Updated_E_recon
RNase_E_tetra_mod_zn2(2)	RNase_E_tetra	zn2(2)	2011_Updated_E_recon
RrmA_dim_mod_zn2(2)	RrmA_dim	zn2(2)	2011_Updated_E_recon
RNase_BN_dim_mod_zn2(2)	RNase_BN_dim	zn2(2)	2011_Updated_E_recon
TadA_dim_mod_zn2(2)	TadA_dim	zn2(2)	2011_Updated_E_recon
DnaJ_dim_mod_zn2(4)	DnaJ_dim	zn2(4)	2011_Updated_E_recon
Tgt_hexa_mod_zn2(6)	Tgt_hexa	zn2(6)	2011_Updated_E_recon
RlmN_mono_mod_4fe4s(1)	RlmN_mono	4fe4s(1)	2011_Updated_E_recon
MnmC_mono_mod_fad(1)	MnmC_mono	fad(1)	2011_Updated_E_recon
MnmEG_cplx_mod_fad(1)_mod_k(2)	MnmEG_cplx	fad(1) AND k(2)	2011_Updated_E_recon
Rph_mono_mod_mg2(1)	Rph_mono	mg2(1)	2011_Updated_E_recon
QueG_mono_mod_adocbl(1)	QueG_mono	adocbl(1)	2011_Updated_E_recon
EG11653-MONOMER_mod_fe2(1)	EG11653-MONOMER	fe2(1)	M_protein_recon
CPLX-7524_mod_2fe2s(1)_mod_mn2(1)	CPLX-7524	2fe2s(1) AND mn2(1)	M_protein_recon
CPLX0-1341_mod_fe2(1)	CPLX0-1341	fe2(1)	M_protein_recon
IscU_mod_fe2(1)	IscU	fe2(1)	M_protein_recon
CPLX-7524_mod_4fe4s(1)_mod_mn2(1)	CPLX-7524	4fe4s(1) AND mn2(1)	M_protein_recon
IscU_mod_fe2(2)	IscU	fe2(2)	M_protein_recon
CPLX0-1341_mod_fe2(2)	CPLX0-1341	fe2(2)	M_protein_recon
NAPAB-CPLX_NAPC-MONOMER_mod_bmocogdp(1)	NAPAB-CPLX_NAPC-MONOMER	bmocogdp(1)	M_protein_recon
NAP-CPLX_mod_bmocogdp(1)	NAP-CPLX	bmocogdp(1)	M_protein_recon
CPLX0-7838_CPLX0-7839_mod_pydx5p(1)	CPLX0-7838_CPLX0-7839	pydx5p(1)	M_protein_recon
GLUCDEHYDROG-MONOMER_mod_pqq(1)	GLUCDEHYDROG-MONOMER	pqq(1)	M_protein_recon
PYRUVFORMLY-INACTIVE-CPLX_mod_glycyl(1)	PYRUVFORMLY-INACTIVE-CPLX	glycyl(1)	Manual
PYRUVFORMLY-MONOMER_EG11784-MONOMER_mod_glycyl(1)	PYRUVFORMLY-MONOMER_EG11784-MONOMER	glycyl(1)	Manual
KETOBUTFORMLY-INACT-MONOMER_mod_glycyl(1)	KETOBUTFORMLY-INACT-MONOMER	glycyl(1)	Manual
EG11910-MONOMER_dimer_EG11911-MONOMER_mod_glycyl(1)	EG11910-MONOMER_dimer_EG11911-MONOMER	glycyl(1)	Manual
ATPSYN-CPLX_EG10106-MONOMER_mod_mg2(1)	ATPSYN-CPLX_EG10106-MONOMER	mg2(1)	Manual
QueG_mono_mod_4fe4s(2)	QueG_mono	4fe4s(2)	Manual
YdaO_dim_mod_4fe4s(1)	YdaO_dim	4fe4s(1)	Manual
CPLX0-782_mod_4fe4s(2)	CPLX0-782	4fe4s(2)	M_protein_recon
CPLX0-246_CPLX0-1342_mod_pydx5p(1)	CPLX0-246_CPLX0-1342	pydx5p(1)	M_protein_recon
IscS_mod_pydx5p(2)	IscS	pydx5p(2)	M_protein_recon
CPLX0-7617_mod_2fe2s(1)	CPLX0-7617	2fe2s(1)	Manual
CPLX0-7617_mod_4fe4s(1)	CPLX0-7617	4fe4s(1)	Manual
