Transcription-Units	Direction	Genes of transcription unit
TU1W2W-603	-	EWS79_RS05260 // EWS79_RS05255 // EWS79_RS05250 // EWS79_RS05245 // EWS79_RS05240
TU1W2W-1191	-	EWS79_RS03300
TU1W2W-1096	+	EWS79_RS07830
TU1W2W-676	+	EWS79_RS05840
TU1W2W-558	+	EWS79_RS04840
TU1W2W-116	-	EWS79_RS00915
TU1W2W-649	+	EWS79_RS05570
TU1W2W-913	+	EWS79_RS07700
TU1W2W-480	+	EWS79_RS04080
TU1W2W-1005	+	EWS79_RS08490
TU1W2W-777	-	EWS79_RS06625
TU1W2W-1076	+	EWS79_RS08570
TU1W2W-250	+	EWS79_RS02045 // EWS79_RS02040 // EWS79_RS02035
TU1W2W-117	+	EWS79_RS00930
TU1W2W-243	-	EWS79_RS01965 // EWS79_RS01960 // EWS79_RS01955
TU1W2W-542	+	EWS79_RS04670
TU1W2W-900	-	EWS79_RS07595
TU1W2W-324	+	EWS79_RS02740 // EWS79_RS02735
TU1W2W-184	-	EWS79_RS01435
TU1W2W-218	+	EWS79_RS01720
TU1W2W-1098	+	EWS79_RS07630
TU1W2W-912	-	EWS79_RS07695
TU1W2W-1150	+	EWS79_RS04945
TU1W2W-967	-	EWS79_RS08075
TU1W2W-593	-	EWS79_RS05165
TU1W2W-1236	-	EWS79_RS00925
TU1W2W-38	-	EWS79_RS00350
TU1W2W-1112	-	EWS79_RS06720
TU1W2W-1012	-	EWS79_RS08540 // EWS79_RS08535 // EWS79_RS08530
TU1W2W-1211	+	EWS79_RS02155
TU1W2W-728	-	EWS79_RS06230
TU1W2W-640	+	EWS79_RS05520
TU1W2W-549	-	EWS79_RS04725
TU1W2W-366	-	EWS79_RS03105
TU1W2W-1078	-	EWS79_RS08470
TU1W2W-561	+	EWS79_RS04880 // EWS79_RS04875 // EWS79_RS04870 // EWS79_RS04865 // EWS79_RS04860
TU1W2W-905	+	EWS79_RS07655 // EWS79_RS07650 // EWS79_RS07645
TU1W2W-653	-	EWS79_RS05615
TU1W2W-878	+	EWS79_RS07425
TU1W2W-142	-	EWS79_RS01140
TU1W2W-718	+	EWS79_RS06150 // EWS79_RS06145
TU1W2W-380	+	EWS79_RS03225
TU1W2W-1135	+	EWS79_RS05800
TU1W2W-1140	+	EWS79_RS05675
TU1W2W-586	-	EWS79_RS05095
TU1W2W-105	-	EWS79_RS00830 // EWS79_RS00825
TU1W2W-816	+	EWS79_RS06930
TU1W2W-832	-	EWS79_RS07065
TU1W2W-1227	+	EWS79_RS01345
TU1W2W-1256	+	EWS79_RS00160
TU1W2W-314	+	EWS79_RS02645
TU1W2W-351	+	EWS79_RS03015 // EWS79_RS03010 // EWS79_RS03005 // EWS79_RS03000
TU1W2W-69	+	EWS79_RS00555
TU1W2W-436	-	EWS79_RS03775 // EWS79_RS03770
TU1W2W-267	+	EWS79_RS02190
TU1W2W-55	+	EWS79_RS00475 // EWS79_RS00470 // EWS79_RS00465
TU1W2W-926	-	EWS79_RS07780
TU1W2W-1113	+	EWS79_RS06670
TU1W2W-490	-	EWS79_RS04185
TU1W2W-825	+	EWS79_RS07010
TU1W2W-1217	-	EWS79_RS01940
TU1W2W-904	-	EWS79_RS07640 // EWS79_RS07635
TU1W2W-98	+	EWS79_RS00750 // EWS79_RS00745
TU1W2W-162	-	EWS79_RS01275
TU1W2W-191	+	EWS79_RS01480
TU1W2W-1180	-	EWS79_RS03755
TU1W2W-584	+	EWS79_RS05075
TU1W2W-655	+	EWS79_RS05645 // EWS79_RS05640 // EWS79_RS05635 // EWS79_RS05630 // EWS79_RS05625
TU1W2W-661	-	EWS79_RS05705
TU1W2W-771	-	EWS79_RS06580
TU1W2W-995	-	EWS79_RS08390 // EWS79_RS08385
TU1W2W-826	+	EWS79_RS07020 // EWS79_RS07015
TU1W2W-264	+	EWS79_RS02165
TU1W2W-871	-	EWS79_RS07390 // EWS79_RS07385 // EWS79_RS07380
TU1W2W-1208	-	EWS79_RS02385
TU1W2W-610	+	EWS79_RS05300
TU1W2W-395	+	EWS79_RS03335
TU1W2W-1116	+	EWS79_RS06465
TU1W2W-483	+	EWS79_RS04105
TU1W2W-118	+	EWS79_RS00935
TU1W2W-802	+	EWS79_RS06820
TU1W2W-523	-	EWS79_RS04510
TU1W2W-965	+	EWS79_RS08065
TU1W2W-1164	-	EWS79_RS04270
TU1W2W-970	-	EWS79_RS08125
TU1W2W-1110	+	EWS79_RS06960
TU1W2W-613	-	EWS79_RS05340
TU1W2W-234	+	EWS79_RS01865
TU1W2W-1168	+	EWS79_RS04190
TU1W2W-1144	-	EWS79_RS05305
TU1W2W-552	-	EWS79_RS04765
TU1W2W-556	+	EWS79_RS04815
TU1W2W-907	-	EWS79_RS07670
TU1W2W-991	-	EWS79_RS08350
TU1W2W-890	+	EWS79_RS07525 // EWS79_RS07520
TU1W2W-597	+	EWS79_RS05200 // EWS79_RS05195
TU1W2W-1253	+	EWS79_RS00210
TU1W2W-473	+	EWS79_RS04040
TU1W2W-476	-	EWS79_RS04055
TU1W2W-299	-	EWS79_RS02510 // EWS79_RS02505
TU1W2W-229	+	EWS79_RS01840 // EWS79_RS01835
TU1W2W-594	+	EWS79_RS05175 // EWS79_RS05170
TU1W2W-189	+	EWS79_RS01470 // EWS79_RS01465 // EWS79_RS01460
TU1W2W-529	+	EWS79_RS04570
TU1W2W-244	-	EWS79_RS01970
TU1W2W-861	-	EWS79_RS07305 // EWS79_RS07300 // EWS79_RS07295
TU1W2W-1220	-	EWS79_RS01725
TU1W2W-664	-	EWS79_RS05740
TU1W2W-224	-	EWS79_RS01765 // EWS79_RS01760
TU1W2W-577	-	EWS79_RS05020 // EWS79_RS05015
TU1W2W-155	+	EWS79_RS01240
TU1W2W-144	-	EWS79_RS01150
TU1W2W-499	-	EWS79_RS04285
TU1W2W-274	+	EWS79_RS02270 // EWS79_RS02265 // EWS79_RS02260 // EWS79_RS02255 // EWS79_RS02250 // EWS79_RS02245 // EWS79_RS02240
TU1W2W-428	+	EWS79_RS03635
TU1W2W-805	+	EWS79_RS06840
TU1W2W-282	+	EWS79_RS02360
TU1W2W-698	-	EWS79_RS06020
TU1W2W-219	+	EWS79_RS01730
TU1W2W-579	-	EWS79_RS05045 // EWS79_RS05040
TU1W2W-488	-	EWS79_RS04155
TU1W2W-441	+	EWS79_RS03810
TU1W2W-1088	-	EWS79_RS08060
TU1W2W-262	-	EWS79_RS02135 // EWS79_RS02130 // EWS79_RS02125
TU1W2W-560	+	EWS79_RS04855
TU1W2W-757	+	EWS79_RS06480
TU1W2W-196	+	EWS79_RS01525
TU1W2W-310	+	EWS79_RS02615 // EWS79_RS02610
TU1W2W-914	+	EWS79_RS07705
TU1W2W-340	-	EWS79_RS02920
TU1W2W-96	-	EWS79_RS00735
TU1W2W-753	-	EWS79_RS06445
TU1W2W-767	+	EWS79_RS06560
TU1W2W-489	-	EWS79_RS04180 // EWS79_RS04175
TU1W2W-1190	-	EWS79_RS03400
TU1W2W-1118	+	EWS79_RS06455
TU1W2W-642	-	EWS79_RS05530
TU1W2W-755	-	EWS79_RS06470
TU1W2W-396	+	EWS79_RS03345 // EWS79_RS03340
TU1W2W-426	+	EWS79_RS03620
TU1W2W-51	-	EWS79_RS00435
TU1W2W-28	+	EWS79_RS00270
TU1W2W-886	-	EWS79_RS07490
TU1W2W-321	-	EWS79_RS02715 // EWS79_RS02710
TU1W2W-382	+	EWS79_RS03240
TU1W2W-670	+	EWS79_RS05790 // EWS79_RS05785 // EWS79_RS05780
TU1W2W-121	+	EWS79_RS00950
TU1W2W-1041	+	EWS79_RS08870 // EWS79_RS08865 // EWS79_RS08860 // EWS79_RS08855 // EWS79_RS08850 // EWS79_RS08845 // EWS79_RS08840
TU1W2W-376	+	EWS79_RS03195
TU1W2W-120	+	EWS79_RS00945
TU1W2W-205	-	EWS79_RS01590
TU1W2W-1255	+	EWS79_RS00200
TU1W2W-461	-	EWS79_RS03970
TU1W2W-843	+	EWS79_RS07130
TU1W2W-368	+	EWS79_RS03140 // EWS79_RS03135
TU1W2W-604	-	EWS79_RS05270 // EWS79_RS05265
TU1W2W-305	-	EWS79_RS02550 // EWS79_RS02545
TU1W2W-1031	-	EWS79_RS08715
TU1W2W-458	-	EWS79_RS03945
TU1W2W-971	+	EWS79_RS08130
TU1W2W-857	+	EWS79_RS07230 // EWS79_RS07225
TU1W2W-868	+	EWS79_RS07365
TU1W2W-1258	-	EWS79_RS00140
TU1W2W-76	+	EWS79_RS00600 // EWS79_RS00595
TU1W2W-477	+	EWS79_RS04065 // EWS79_RS04060
TU1W2W-33	-	EWS79_RS00305 // EWS79_RS00300
TU1W2W-1137	+	EWS79_RS05735
TU1W2W-1057	+	EWS79_RS08975 // EWS79_RS08970
TU1W2W-63	-	EWS79_RS00520
TU1W2W-600	-	EWS79_RS05215
TU1W2W-883	+	EWS79_RS07475
TU1W2W-946	-	EWS79_RS07930 // EWS79_RS07925 // EWS79_RS07920
TU1W2W-214	+	EWS79_RS01695 // EWS79_RS01690 // EWS79_RS01685 // EWS79_RS01680 // EWS79_RS01675
TU1W2W-425	+	EWS79_RS03615
TU1W2W-1192	-	EWS79_RS03275
TU1W2W-1171	+	EWS79_RS04160
TU1W2W-1151	-	EWS79_RS04940
TU1W2W-1143	+	EWS79_RS05400
TU1W2W-238	+	EWS79_RS01920
TU1W2W-133	+	EWS79_RS01065
TU1W2W-123	+	EWS79_RS00985 // EWS79_RS00980 // EWS79_RS00975 // EWS79_RS00970 // EWS79_RS00965
TU1W2W-1010	-	EWS79_RS08520 // EWS79_RS08515
TU1W2W-1187	+	EWS79_RS03415
TU1W2W-248	-	EWS79_RS02005
TU1W2W-799	+	EWS79_RS06795
TU1W2W-796	-	EWS79_RS06780
